Domain Name,Domain,Control_ID,Control_Desc,Control_Scope,Control_Owner,Control_Operator,Control_Type,Control_Type
Asset Management,AM,AM-CS-1,The Company maintains an inventory of Assets.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-2,Hardware Technology Assets must be requested and approved.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-3,"Assets are securely disposed of, if no longer required.  ",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-5,Scope for regulatory compliance requirements is identified and documented.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-6,"The Company tracks and reports on End Of Service Life (""EOSL"") for hardware and software.",Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",FedRAMP Extended,,,Enterprise,Technical
Asset Management,AM,AM-CS-9,Scope for The Company's authorization boundaries is identified and documented.,FedRAMP Extended,,,Enterprise,Administrative
Continuity & Recovery Planning ,RP,RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-6,The Company completes secure backups of information systems and data.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-7,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Technical
Configuration Controls,CC,CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,Baseline,,,System Specific,Technical
Configuration Controls,CC,CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-4,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis. ,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-5,The Company restricts program execution for systems deployed in its FedRAMP boundaries.  ,FedRAMP Extended,,,Enterprise,Technical
Technology Change Management,TC,TC-CS-1,"The Company maintains a Change Management Policy that identifies requirements for changes, roles, responsibilities, and management commitment. ",Baseline,,,Enterprise,Administrative
Technology Change Management,TC,TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",Baseline,,,Enterprise,Technical
Technology Change Management,TC,TC-CS-3,The Company has established a Change Advisory Board (CAB) to review changes categorized as Risk 1 or Risk 2. ,Baseline,,,Enterprise,Administrative
Technology Change Management,TC,TC-CS-4,"The Company uses a change management system to track and document production changes. The ticket tracking system maintains history, identifies details of the change and has a method of approval/sign-off.",Baseline,,,System Specific,Technical
Technology Change Management,TC,TC-CS-5,The Company's Change Management Team performs an audit of changes to ensure change documentation meets The Company Change Management Policy. ,Baseline,,,Enterprise,Technical
Security Compliance,SC,SC-CS-1,"The Company reviews, responds, and incorporates legislative, statutory, and regulatory requirements regarding cybersecurity if determined to be applicable to The Company. ",Baseline,,,Enterprise,Technical
Security Compliance,SC,SC-CS-2,"The Company performs risk assessments to determine company compliance with legislative, statutory, and regulatory obligations regarding cybersecurity.",Baseline,,,Enterprise,Technical
Data Encryption,DE,DE-CS-1,"Data devaluation requirements to protect The Company sensitive data at rest, in use, and in transit, is defined, established, implemented and communicated to support compliance with applicable laws, regulations, customer contracts, and industry standards relating to information security. Requirements are reviewed, approved and updated, as necessary, on at least an annual basis.",Baseline,,,Enterprise,Administrative
Data Encryption,DE,DE-CS-2,Sensitive data is protected at rest in accordance with established data devaluation requirements.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-3,Sensitive data is protected in transit in accordance with established data devaluation requirements.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-4,The Company owned laptops and mobile devices employ full disk encryption.,Baseline,,,Enterprise,Technical
Data Encryption,DE,DE-CS-5,"Cryptographic key management requirements are defined, established, implemented, and maintained.",Baseline,,,System Specific,Administrative
Data Encryption,DE,DE-CS-6,"Access to cryptographic keys is restricted to authorized personnel and appropriately stored, protected, and maintained, in accordance with defined requirements.",Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-7,Cryptographic mechanisms have been implemented to protect data integrity in transit.,Baseline,,,Enterprise,Technical
Data Encryption,DE,DE-CS-8,Cryptographic mechanisms have been implemented to verify the authenticity of software prior to installation.,Baseline,,,System Specific,Technical
Data Encryption,DE,DE-CS-9,"A formal digital certificate management program, including supporting requirements and management documentation, technology, and inventory, is defined, established, implemented, and maintained.",Baseline,,,Enterprise,Administrative
Data Classification,DC,DC-CS-1,"Security requirements have been defined, documented, and communicated to appropriate individuals, to establish the organization's approach to the classification and handling of data, in accordance with its sensitivity and criticality. The requirements are reviewed, updated as necessary, and approved on at least an annual basis.",Baseline,,,Enterprise,Administrative
Data Classification,DC,DC-CS-2,Information assets are classified and labeled in accordance with established data classification requirements. ,Baseline,,,System Specific,Administrative
Data Classification,DC,DC-CS-3,"The organization manages, protects, and monitors removable media usage in accordance with documented and approved data handling and acceptable usage requirements.",Baseline,,,Enterprise,Technical
Data Classification,DC,DC-CS-4,A Data Loss Prevention (DLP) Program is in place to detect and monitor unauthorized leakage of sensitive data across the enterprise.,Baseline,,,Enterprise,Technical
