Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Asset Management,AM,AM-TR-100,0,0,,The Company maintains an inventory of assets and configuration items.,Baseline
Asset Management,AM,AM-TR-200,0,0,,"The Company uses manual processes and, where practicable, automated tool(s) to regularly inventory and classify, manage inventory disposition and maintain reports on assets.",Baseline
Asset Management,AM,AM-TR-300,0,0,,"The Company validates the completeness and accuracy of the hardware and software assets maintained within the asset inventory, including corresponding configuration items and asset attributes. The inventory is updated as necessary following execution of internal processes.",Baseline
Asset Management,AM,AM-TR-310,0,0,,"The inventory of The Company systems deployed in its FedRAMP boundaries is updated at least [INSERT TIME FRAME], following the execution of internal processes including but not limited to component or system installation, removals, and updates,  and when there is a system change.",FedRAMP Extended
Asset Management,AM,AM-TR-400,0,0,,"The Company maintains an asset inventory, which includes both software and hardware assets.",Baseline
Asset Management,AM,AM-TR-400,1,1,AM-TR-400.1,"Physical hardware asset attributes documented include: Asset Tag, Company, Serial Number, Model, Model Category, State, Assigned To (where applicable), Physical Location, Support Group, End of Service Life, and Link to the Configuration Item (where applicable)",Baseline
Asset Management,AM,AM-TR-400,2,1,AM-TR-400.2,"Software asset attributes documented include: Publisher, Product Classification, Product, Product Type, Version, and End of Service Life",Baseline
Asset Management,AM,AM-TR-500,0,0,,"The Company maintains a configuration items (CI) inventory, which includes Application Servers, Virtual Servers, Database Servers, Storage, Business Services, and Business Applications. The following attributes are documented for each type of configuration item:",Baseline
Asset Management,AM,AM-TR-500,1,1,AM-TR-500.1,"Application Servers: Name, Managed By, Category, Support Group, Version, Port Number, IP Address",Baseline
Asset Management,AM,AM-TR-500,2,1,AM-TR-500.2,"Servers: OS Domain, Operating System, OS Version, OS Service Pack, Host Name, Disk Space, Chassis Type, RAM, CPU Manufacturer, CPU Type, CPU Speed, CPU Count, CPU Core Count, IP Address, Software Installations, Running Processes",Baseline
Asset Management,AM,AM-TR-500,3,1,AM-TR-500.3,"Database Servers: Name, Type, Version, Support Group, IP Address",Baseline
Asset Management,AM,AM-TR-500,4,1,AM-TR-500.4,"Storage Servers: Name, Manufacturer, Location, Manufacturer, Asset Tag, Model ID, OS Version, Support Group, Serial Number, IP Address",Baseline
Asset Management,AM,AM-TR-500,5,1,AM-TR-500.5,"Business Services: Name, Owned By, Business Criticality, Version, Environment, Operational Status, Service Classification, Approval Group, Support Group, Managed By (Individual), Service Level Agreement (SLA), Location",Baseline
Asset Management,AM,AM-TR-500,6,1,AM-TR-500.6,"Business Application: Application Name, Status - (e.g., Lifecycle stage), Customer Type, Internet Facing Web App (Yes / No), Application Type, Architecture Type, Business Owner, IT Application Owner, Business Unit, Alliance, Tribe, Approval group, Assignment Group (i.e., group assigned to manage the CI), If the Configuration Item is in-scope for Regulatory and Compliance Audits, Data Classification, Recovery Time Objective, Data Volume, Data Residency Restrictions, Security Control Restriction, Inherent Risk Rating, Service Account Password Management, and SSH and RDP Multi-Factor Authentication",Baseline
Asset Management,AM,AM-TR-600,0,0,,Hardware technology asset acquisitions must be requested and approved using The Company's approved procurement process(es).,Baseline
Asset Management,AM,AM-TR-700,0,0,,"Hardware and software purchases shall be made available with a record of IT assets acquired, which should include necessary elements to receive items into the asset management repository.",Baseline
Asset Management,AM,AM-TR-900,0,0,,"Application Owners shall ensure that all applications, associated assets, and required attributes are mapped as a Business Application.",Baseline
