opensource_control_id,opensource_control_domain,control_domain,Control_ID,Control_Statement,CSF_Subcategory_ID,CSF_Subcategory_Description
AM-CS-1,AM,AST,AST-CS-1,The Company maintains an inventory of Assets.,ID.AM-1,Physical devices and systems within the organization are inventoried
AM-CS-1,AM,AST,AST-CS-1,The Company maintains an inventory of Assets.,ID.AM-2,Software platforms and applications within the organization are inventoried
AM-CS-1,AM,AST,AST-CS-1,The Company maintains an inventory of Assets.,ID.AM-4,External information systems are catalogued
AM-CS-1,AM,AST,AST-CS-1,The Company maintains an inventory of Assets.,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value"
AM-CS-2,AM,AST,AST-CS-2,Hardware Technology Assets must be requested and approved.,ID.AM-1,Physical devices and systems within the organization are inventoried
AM-CS-2,AM,AST,AST-CS-2,Hardware Technology Assets must be requested and approved.,PR.DS-8,Integrity checking mechanisms are used to verify hardware integrity
AM-CS-3,AM,AST,AST-CS-3,"Assets are securely disposed of, if no longer required.  ",PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
AM-CS-3,AM,AST,AST-CS-3,"Assets are securely disposed of, if no longer required.  ",PR.IP-6,Data is destroyed according to policy
AM-CS-4,AM,AST,AST-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
AM-CS-4,AM,AST,AST-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",PR.IP-6,Data is destroyed according to policy
AM-CS-5,AM,AST,AST-CS-5,Scope for regulatory compliance requirements is identified and documented.,ID.AM-2,Software platforms and applications within the organization are inventoried
AM-CS-6,AM,AST,AST-CS-6,"The Company tracks and reports on End Of Service Life ("EOSL") for hardware and software.",PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
AM-CS-7,AM,AST,AST-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,ID.AM-1,Physical devices and systems within the organization are inventoried
AM-CS-7,AM,AST,AST-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,ID.AM-2,Software platforms and applications within the organization are inventoried
AM-CS-8,AM,AST,AST-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",ID.AM-2,Software platforms and applications within the organization are inventoried
AM-CS-9,AM,AST,AST-CS-9,Scope for The Company's authorization boundaries is identified and documented.,ID.AM-2,Software platforms and applications within the organization are inventoried
