Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Configuration Controls,CC,CC-TR-100,0,0,,"Prior to being made available to application teams, [INSERT TYPE] systems are configured by a documented process:",Baseline
Configuration Controls,CC,CC-TR-100,1,1,CC-TR-100.1,Latest operating system is installed and updated.,Baseline
Configuration Controls,CC,CC-TR-100,2,1,CC-TR-100.2,Systems are configured according to required configuration.,Baseline
Configuration Controls,CC,CC-TR-100,3,1,CC-TR-100.3,Monitoring and security management software/agents are installed.,Baseline
Configuration Controls,CC,CC-TR-200,0,0,,"Prior to being made available to application teams, servers are configured as follows:",Baseline
Configuration Controls,CC,CC-TR-200,1,1,CC-TR-200.1,The Company approved operating system release is installed.,Baseline
Configuration Controls,CC,CC-TR-200,2,1,CC-TR-200.2,The Company approved software patches are installed.,Baseline
Configuration Controls,CC,CC-TR-200,3,1,CC-TR-200.3,Security agents and software are loaded as defined in Technical Requirements,Baseline
Configuration Controls,CC,CC-TR-200,4,1,CC-TR-200.4,Systems are configured according to the approved baseline,Baseline
Configuration Controls,CC,CC-TR-300,0,0,,[INSERT TYPE] systems are created using deployment templates stored in a secured repository.,Baseline
Configuration Controls,CC,CC-TR-400,0,0,,"Prior to being made available to end users, [INSERT TYPE] endpoint systems are configured by a documented process:",Baseline
Configuration Controls,CC,CC-TR-400,1,1,CC-TR-400.1,Latest The Company approved [INSERT TYPE] release is installed,Baseline
Configuration Controls,CC,CC-TR-400,2,1,CC-TR-400.2,Enable device storage encryption in accordance with Technical Requirements,Baseline
Configuration Controls,CC,CC-TR-400,3,1,CC-TR-400.3,The Company approved [INSERT TYPE] patches are installed,Baseline
Configuration Controls,CC,CC-TR-400,4,1,CC-TR-400.4,Security agents and software are loaded as defined in Technical Requirements,Baseline
Configuration Controls,CC,CC-TR-400,5,1,CC-TR-400.5,The Company End Point team installs base applications,Baseline
Configuration Controls,CC,CC-TR-500,0,0,,"Prior to being made available to end users, [INSERT TYPE] endpoint systems are configured by a documented process:",Baseline
Configuration Controls,CC,CC-TR-500,1,1,CC-TR-500.1,Latest The Company approved [INSERT TYPE] release is installed,Baseline
