Domain Name ,Domain,Control_ID,Control_Desc,Control_Scope,Control_Owner,Control_Operator,Control_Type,Control_Type
Incident Response Planning,IR,IR-CS-1,The Company maintains operational plans for incident response and recovery activities. ,Baseline,,,Enterprise,Administrative
Incident Response Planning,IR,IR-CS-2,The Company responds to security incidents in accordance with documented procedures and tracks response activities through resolution. ,Baseline,,,Enterprise,Technical
Incident Response Planning,IR,IR-CS-3,The Company tests its security incident response capability biannually and updates its plans as needed. ,Baseline,,,Enterprise,Technical
Incident Response Planning,IR,IR-CS-4,The Company conducts post security incident analysis and updates plans or procedures if areas for improvement are identified. ,Baseline,,,Enterprise,Technical
Incident Response Planning,IR,IR-CS-5,The Company reports security incidents to the CISO and Board of Directors (or subcommittee) based on severity and in accordance with the Security Incident Response Plan. ,Baseline,,,Enterprise,Technical
Asset Management,AM,AM-CS-1,The Company maintains an inventory of Assets.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-2,Hardware Technology Assets must be requested and approved.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-3,"Assets are securely disposed of, if no longer required.  ",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-5,Scope for regulatory compliance requirements is identified and documented.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-6,"The Company tracks and reports on End Of Service Life (""EOSL"") for hardware and software.",Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",FedRAMP Extended,,,Enterprise,Technical
Asset Management,AM,AM-CS-9,Scope for The Company's authorization boundaries is identified and documented.,FedRAMP Extended,,,Enterprise,Administrative
Continuity & Recovery Planning ,RP,RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-6,The Company completes secure backups of information systems and data.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-7,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Technical
