Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Incident Response Planning,IR,IR-TR-100,0,0,,Incident response plans contain operational information and activities on:,Baseline
Incident Response Planning,IR,IR-TR-100,1,1,IR-TR-100.1,The structure and organization of the incident response capability,Baseline
Incident Response Planning,IR,IR-TR-100,2,1,IR-TR-100.2,Overall incident response process,Baseline
Incident Response Planning,IR,IR-TR-100,3,1,IR-TR-100.3,"Response principles and priorities, and metrics",Baseline
Incident Response Planning,IR,IR-TR-100,4,1,IR-TR-100.4,Reportable incident definitions,Baseline
Incident Response Planning,IR,IR-TR-100,5,1,IR-TR-100.5,Requirements to meet applicable state breach notification laws,Baseline
Incident Response Planning,IR,IR-TR-100,6,1,IR-TR-100.6,Cross-functional teams for recovery coordination,Baseline
Incident Response Planning,IR,IR-TR-110,0,0,,"For systems deployed in its FedRAMP boundaries, The Company reviews historical activity in the event of:Data SpillageVulnerability identified has been previously exploited.",FedRAMP Extended
Incident Response Planning,IR,IR-TR-200,0,0,,"Incident response procedures covering the preparation, detection, analysis, forensics, containment, internal notification, coordination with law enforcement, eradication, recovery, public relations, consumer response, regulator notification, and post-incident analysis are documented. ",Baseline
Incident Response Planning,IR,IR-TR-210,,0,,The Company uses centralized tools and automated mechanisms to assist in the reporting and response of security incidents.,Baseline
Incident Response Planning,IR,IR-TR-300,0,0,,"The Company maintains Customer response plans covering consumer and regulatory notification and remediation and includes consideration of appropriate staffing levels, training, and written materials.",Baseline
Incident Response Planning,IR,IR-TR-400,0,0,,"Incident response plans and procedures are reviewed, updated where required, and approved by senior leaders, at least annually.",Baseline
Incident Response Planning,IR,IR-TR-500,0,0,,"Incident response plans, procedures, or documentation are made available, where appropriate, to personnel and teams, including but not limited to:",Baseline
Incident Response Planning,IR,IR-TR-500,1,1,IR-TR-500.1,Security Incident Response Team (SIRT),Baseline
Incident Response Planning,IR,IR-TR-500,2,1,IR-TR-500.2,Cyber Incident Response Team (CIRT),Baseline
Incident Response Planning,IR,IR-TR-500,3,1,IR-TR-500.3,The Company Security Operations Center (SOC),Baseline
Incident Response Planning,IR,IR-TR-500,4,1,IR-TR-500.4,Business Unit Information Security Officers (BISOs),Baseline
Incident Response Planning,IR,IR-TR-500,5,1,IR-TR-500.5,Application Product and Services Teams,Baseline
Incident Response Planning,IR,IR-TR-600,0,0,,Incident response plans are stored in a central document repository and are accessible to personnel and teams.,Baseline
