Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Vendor Relations,VR,VR-TR-100,0,0,,The Company establishes a Vendor Relations Oversight Program including defining the roles and responsibilities involved in managing the regulatory compliance aspects of third party risk. The program is reviewed at least  [INSERT TIME FRAME].,Baseline
Vendor Relations,VR,VR-TR-100,1,1,VR-TR-100.1,"Vendor is defined as any legal entity, including Cloud Service Providers (CSP) with which The Company has entered into a business relationship that:",Baseline
Vendor Relations,VR,VR-TR-100,2,2,VR-TR-100.1.1,"provides a product or service to The Company or its customers or,",Baseline
Vendor Relations,VR,VR-TR-100,3,2,VR-TR-100.1.2,"Performs functions on The Company's behalf or,",Baseline
Vendor Relations,VR,VR-TR-100,4,1,VR-TR-100.1.3,Resells or brokers The Company data (sell to another party) or products or connects to customers (sell through to another party),Baseline
Vendor Relations,VR,VR-TR-200,0,0,,The Company conducts due diligence before selecting and entering into a contract with a third party. Extent of due diligence performed is determined based on risk categories:,Baseline
Vendor Relations,VR,VR-TR-200,1,1,VR-TR-200.1,High risk - Vendors with one or more of the following attributes may be deemed high risk:,Baseline
Vendor Relations,VR,VR-TR-200,2,2,VR-TR-200.1.1,"Have access to store, handle, view, or transmit consumer protected data (Class 5 data)",Baseline
Vendor Relations,VR,VR-TR-200,3,2,VR-TR-200.1.2,Perform or support a Critical Business Function or process for The Company,Baseline
Vendor Relations,VR,VR-TR-200,4,2,VR-TR-200.1.3,"Have access to confidential or restricted information (e.g. standards, Class 3 and 4 data respectively)",Baseline
Vendor Relations,VR,VR-TR-200,5,1,VR-TR-200.2,Low risk - Vendors with one or more of the following attributes may be deemed low risk:,Baseline
Vendor Relations,VR,VR-TR-200,6,2,VR-TR-200.2.1,Vendors presenting minimal compliance risk and which are easily replaceable,Baseline
Vendor Relations,VR,VR-TR-200,7,2,VR-TR-200.2.2,Vendors that do not directly impact data or processes in critical areas,Baseline
Vendor Relations,VR,VR-TR-200,8,2,VR-TR-200.2.3,"Vendors with no Fair Credit Reporting Act ("FCRA") exposure and no documented/apparent need for access to consumer or customer data",Baseline
Vendor Relations,VR,VR-TR-200,9,2,VR-TR-200.2.4,Vendors who only have access to Class 1 or Class 2 data,Baseline
Vendor Relations,VR,VR-TR-300,0,0,,Due diligence may need to be performed by one or more of the following teams:,Baseline
Vendor Relations,VR,VR-TR-300,1,1,VR-TR-300.1,Legal,Baseline
Vendor Relations,VR,VR-TR-300,2,1,VR-TR-300.2,Security Risk,Baseline
Vendor Relations,VR,VR-TR-300,3,1,VR-TR-300.3,Credentialing,Baseline
Vendor Relations,VR,VR-TR-300,4,1,VR-TR-300.4,Cloud Compliance,Baseline
Vendor Relations,VR,VR-TR-300,5,1,VR-TR-300.5,Data Privacy and Protection,Baseline
Vendor Relations,VR,VR-TR-400,0,0,,"Prior to entering into a relationship with a vendor, The Company requires a written contract. Based on the service provided and data accessed, the contract may include one or more of the following:",Baseline
Vendor Relations,VR,VR-TR-400,1,1,VR-TR-400.1,Confidentiality/Non-Disclosure Agreements,Baseline
Vendor Relations,VR,VR-TR-400,2,1,VR-TR-400.2,Employee and subcontractors roles and responsibilities,Baseline
