Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Patch Management,PM,PM-TR-100,0,0,,"The Company shall have a Patch Management Group (PMG) that includes persons with appropriate experience and qualifications, and is responsible for:",Baseline
Patch Management,PM,PM-TR-100,1,1,PM-TR-100.1,Monitoring and tracking the availability of security patches and security updates through patch management system notifications,Baseline
Patch Management,PM,PM-TR-100,2,1,PM-TR-100.2,Ensuring the appropriate and timely application of all security updates or security patches,Baseline
Patch Management,PM,PM-TR-100,3,1,PM-TR-100.3,"Monitoring for compliance with policies and procedures regarding ownership, supervision, evaluation, and coordination of the maintenance, management, and application of all security patches and software and application security updates by application and system owners",Baseline
Patch Management,PM,PM-TR-100,4,1,PM-TR-100.4,"Supervising, evaluating, and coordinating system patch management tool(s)",Baseline
Patch Management,PM,PM-TR-100,5,1,PM-TR-100.5,Providing training to individuals responsible for implementing and maintaining The Company patch management policies,Baseline
Patch Management,PM,PM-TR-100,6,1,PM-TR-100.6,Establishing a governance model for patch management activities that is in alignment with compliance requirements,Baseline
Patch Management,PM,PM-TR-200,0,0,,The Company shall appoint a Patch Supervisor who is responsible for overseeing the PMG. The Patch Supervisor shall report to the CTO and have appropriate experience and qualifications.,Baseline
Patch Management,PM,PM-TR-300,0,0,,The Company shall appoint Patch Champions for each Alliance. Patch Champions are responsible for:,Baseline
Patch Management,PM,PM-TR-300,1,1,PM-TR-300.1,"Working with Alliance stakeholders, Application Owners, Security, PMG, and IaaS on patching compliance, remediation, and risk mitigation activities",Baseline
Patch Management,PM,PM-TR-300,2,1,PM-TR-300.2,Communicating and coordinating patching with Site Reliability Engineers,Baseline
Patch Management,PM,PM-TR-300,3,1,PM-TR-300.3,Establishing and implementing patch plans that prioritize patch efforts in accordance with Patch Remediation Timeframes,Baseline
Patch Management,PM,PM-TR-300,4,1,PM-TR-300.4,Ensuring relevant SDLC and change management processes are followed,Baseline
Patch Management,PM,PM-TR-300,5,1,PM-TR-300.5,"Reporting progress to the PMG, and relevant stakeholders",Baseline
Patch Management,PM,PM-TR-300,6,1,PM-TR-300.6,"Supporting implementation of controls, technical requirements, process technologies and tooling",Baseline
Patch Management,PM,PM-TR-400,0,0,,Site Reliability Engineers coordinate patch activities between infrastructure and application teams.,Baseline
Patch Management,PM,PM-TR-500,0,0,,"The PMG shall perform a biannual internal assessment of its management and implementation of security updates and patches. This assessment shall identify all known vulnerabilities to The Company technology assets and the security updates or security patches applied to address each vulnerability. The assessment shall be formally identified, documented, and reviewed by the PMG, Senior Technology, and Senior Security Leadership.",Baseline
Patch Management,PM,PM-TR-700,0,0,,The Company shall define a Technology Owner for software and applications used in the environment.,Baseline
Patch Management,PM,PM-TR-800,0,0,,"Asset Owners must onboard all assets to use the automated mechanisms prescribed for identification and assessment of software patches. Where automated mechanisms do not exist, Asset Owners must subscribe to vendor patch notification services, document all available patches, and track the installation of the patch.",Baseline
Patch Management,PM,PM-TR-900,0,0,,"Patch deployment is prioritized, initiated, completed, and documented per patch remediation timeframe requirements.",Baseline
Patch Management,PM,PM-TR-1000,0,0,,"Technology Owners must identify, assess, and document available patches for each assigned technology. Documentation for each patch should include:",Baseline
Patch Management,PM,PM-TR-1000,1,1,PM-TR-1000.1,Impacted Application or System Owner(s),Baseline
Patch Management,PM,PM-TR-1000,2,1,PM-TR-1000.2,Patch Identifier,Baseline
Patch Management,PM,PM-TR-1000,3,1,PM-TR-1000.3,Vendor,Baseline
Patch Management,PM,PM-TR-1000,4,1,PM-TR-1000.4,"Patch description, as made available from vendor",Baseline
Patch Management,PM,PM-TR-1000,5,1,PM-TR-1000.5,Applicable versions,Baseline
Patch Management,PM,PM-TR-1000,6,1,PM-TR-1000.6,Notification timestamp,Baseline
Patch Management,PM,PM-TR-1000,7,1,PM-TR-1000.7,Patch release date,Baseline
Patch Management,PM,PM-TR-1000,8,1,PM-TR-1000.8,Severity,Baseline
Patch Management,PM,PM-TR-1000,9,1,PM-TR-1000.9,Patch Remediation Timeframe,Baseline
Patch Management,PM,PM-TR-1000,10,1,PM-TR-1000.10,"Applicable Technology (application or system, e.g., Microsoft Windows, iOS)",Baseline
Patch Management,PM,PM-TR-1000,11,1,PM-TR-1000.11,"Patch status, including approval records",Baseline
Patch Management,PM,PM-TR-1000,12,1,PM-TR-1000.12,"Control variance status and number following the Issues and Deviations process, where enterprise-wide variances are required",Baseline
Patch Management,PM,PM-TR-1100,0,0,,The Company shall use the IT asset inventory to assist in identifying assets for purposes of applying security updates/patches.,Baseline
Patch Management,PM,PM-TR-1200,0,0,,"Patches are assigned Patch Severity Ratings based on the Initial Severity Rating (ISR), Asset Inherent Risk Rating (IRR), and other risk measures",Baseline
Patch Management,PM,PM-TR-1200,1,1,PM-TR-1200.1,"Patches are assigned an Initial Severity Rating, which matches the rating provided by the vendor. Where a vendor does not supply a rating, the rating provided in the National Vulnerability Database (NVD) is used. If neither the vendor nor NVD provides a rating, the initial patch severity rating should be identified by the Technology Owner and approved by Cybersecurity Operations.",Baseline
Patch Management,PM,PM-TR-1200,2,1,PM-TR-1200.2,The Patch Severity Rating is Critical for assets that are identified as externally-facing where the Patch ISR is Critical or the ISR is High and the vulnerability has a network-based attack vector (NBAV),Baseline
Patch Management,PM,PM-TR-1300,0,0,,Modification of patch severity ratings must be approved by the [INSERT TEAM OR NAME],Baseline
Patch Management,PM,PM-TR-1400,0,0,,"Where the severity rating of a patch that is applicable to externally-facing applications is reduced from the vendor or in the NVD supplied rating, or if the Alliance Owner requests a modification to the severity rating, the following information is documented within  [INSERT TIME FRAME] of modifying the rating:",Baseline
Patch Management,PM,PM-TR-1400,1,1,PM-TR-1400.1,Justification for reducing the risk rating,Baseline
Patch Management,PM,PM-TR-1400,2,1,PM-TR-1400.2,Alternatives that were considered and the reason that they were not implemented,Baseline
Patch Management,PM,PM-TR-1400,3,1,PM-TR-1400.3,Duration that the risk rating will remain reduced,Baseline
Patch Management,PM,PM-TR-1400,4,1,PM-TR-1400.4,Risk-mitigation plan for any outstanding risks,Baseline
Patch Management,PM,PM-TR-1400,5,1,PM-TR-1400.5,Assets to which the patch is applicable,Baseline
Patch Management,PM,PM-TR-1500,0,0,,Patches must be remediated according to the Patch Remediation Timeline provided in the following table:,Baseline
Patch Management,PM,PM-TR-1500,1,1,PM-TR-T200.,,Baseline
Patch Management,PM,PM-TR-1600,0,0,,"Application and System Owners must document a deployment plan that addresses patch coordination, scheduling, testing, verification, and rollback.",Baseline
Patch Management,PM,PM-TR-1700,0,0,,Patch deployments must be approved in accordance with the requirements of the [INSERT POLICY NAME] Policy and Standards prior to implementation.,Baseline
Patch Management,PM,PM-TR-1800,0,0,,"Application and System Owners must test software patches, including firmware updates, in non-production environments and verify that there are no adverse effects before they are deployed to production environments.",Baseline
Patch Management,PM,PM-TR-1900,0,0,,Application and System Owners must initiate and deploy patches in accordance with the Patch Remediation Timeframe requirements.,Baseline
Patch Management,PM,PM-TR-1900,1,1,PM-TR-1900.1,"If a patch requires a reboot for deployment, the reboot must occur within the required timeframes",Baseline
Patch Management,PM,PM-TR-2000,0,0,,Application and System Owners must verify that patches are successfully deployed.,Baseline
Patch Management,PM,PM-TR-2000,1,1,PM-TR-2000.1,"If a patch deployment fails, Application and System Owners must reattempt to install the patch, using alternate methods, if required",Baseline
Patch Management,PM,PM-TR-2000,2,1,PM-TR-2000.2,"If patch management is outsourced, service level agreements that address The Company requirements and outline responsibilities for software patching are required",Baseline
Patch Management,PM,PM-TR-2100,0,0,,Process Owners shall ensure standard images or baseline build configurations are updated to include available vendor-supplied patches in accordance with the patch severity identified in alignment with security recommendations.,Baseline
Patch Management,PM,PM-TR-2110,0,0,,"Standard images and baseline build configurations used in The Company's FedRAMP boundaries are reviewed and updated:  a) at least  [INSERT TIME FRAME] b) as a part of system component installations and upgrades (e.g. patch deployment, configuration change. In addition, for The Company systems deployed in its FedRAMP boundaries, The Company will evaluate and as appropriate, incorporate FedRAMP Program Management Office directives in its baselines.",FedRAMP Extended
Patch Management,PM,PM-TR-2200,0,0,,"Application and System Owners must update The Company change management system once a patch has been installed and verified, or rescheduled due to patch failure. Required documentation tasks include:",Baseline
Patch Management,PM,PM-TR-2200,1,1,PM-TR-2200.1,Updating the change management records,Baseline
Patch Management,PM,PM-TR-2200,2,1,PM-TR-2200.2,Attaching evidence of successful patch deployment to the change management records,Baseline
Patch Management,PM,PM-TR-2300,0,0,,"For each security update or security patch rated as critical, The Company shall maintain records (""Critical Patch Management Records"") identifying:",Baseline
Patch Management,PM,PM-TR-2300,1,1,PM-TR-2300.1,Each identified critical patch or update,Baseline
Patch Management,PM,PM-TR-2300,2,1,PM-TR-2300.2,The date(s) each patch or update was applied or remediated through redeployment.,Baseline
Patch Management,PM,PM-TR-2300,3,1,PM-TR-2300.3,The assets to which each patch or update was applied or remediated through redployment.,Baseline
Patch Management,PM,PM-TR-2300,4,1,PM-TR-2300.4,"Whether each patch or update was applied and installed successfully, including remediation through redeployments.",Baseline
