Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Security Continuous Monitoring,CM,CM-TR-100,0,0,,The Company systems must have security controls configured to sufficiently detect and alert when unauthorized or anomalous activity occurs.,Baseline
Security Continuous Monitoring,CM,CM-TR-200,0,0,,"Servers and applications are configured to log activity that can enable the monitoring, reporting, analysis, and investigation of unlawful, unauthorized, or inappropriate information system activity. Logged events include:",Baseline
Security Continuous Monitoring,CM,CM-TR-200,1,1,CM-TR-200.1,"Authentication (e.g., successful and failed logon and logoff)",Baseline
Security Continuous Monitoring,CM,CM-TR-200,2,1,CM-TR-200.2,"Authorization (e.g., successful and failed access)",Baseline
Security Continuous Monitoring,CM,CM-TR-200,3,2,CM-TR-200.2.1,Individual user accesses to cardholder data,PCI Extended
Security Continuous Monitoring,CM,CM-TR-200,4,2,CM-TR-200.2.2,Actions taken by any individual with root or administrative privileges,PCI Extended
Security Continuous Monitoring,CM,CM-TR-200,5,1,CM-TR-200.3,"User or group management, including:",Baseline
Security Continuous Monitoring,CM,CM-TR-200,6,2,CM-TR-200.3.1,Account creation or modification,Baseline
Security Continuous Monitoring,CM,CM-TR-200,7,2,CM-TR-200.3.2,Group creation or modification,Baseline
Security Continuous Monitoring,CM,CM-TR-200,8,2,CM-TR-200.3.3,Password creation or modification,Baseline
Security Continuous Monitoring,CM,CM-TR-200,9,1,CM-TR-200.4,Changes to authentication and authorization mechanisms,Baseline
Security Continuous Monitoring,CM,CM-TR-200,10,1,CM-TR-200.5,"Modification, initialization, stopping, or pausing of the audit logs",Baseline
Security Continuous Monitoring,CM,CM-TR-200,11,1,CM-TR-200.6,Process creation,Baseline
Security Continuous Monitoring,CM,CM-TR-200,12,1,CM-TR-200.7,"System operational events, such as power on or off and hardware changes",Baseline
Security Continuous Monitoring,CM,CM-TR-200,13,2,CM-TR-200.7.1,Creation and deletion of system-level objects,PCI Extended
Security Continuous Monitoring,CM,CM-TR-200,14,1,CM-TR-200.8,The following details are captured where possible:,Baseline
Security Continuous Monitoring,CM,CM-TR-200,15,2,CM-TR-200.8.1,Date and time stamp,Baseline
Security Continuous Monitoring,CM,CM-TR-200,16,2,CM-TR-200.8.2,Type of event,Baseline
Security Continuous Monitoring,CM,CM-TR-200,17,2,CM-TR-200.8.3,User identifier,Baseline
Security Continuous Monitoring,CM,CM-TR-200,18,2,CM-TR-200.8.4,Source and Destination IP address,Baseline
Security Continuous Monitoring,CM,CM-TR-200,19,2,CM-TR-200.8.5,Destination port,Baseline
Security Continuous Monitoring,CM,CM-TR-200,20,2,CM-TR-200.8.6,Layer 4 protocol,Baseline
Security Continuous Monitoring,CM,CM-TR-200,21,2,CM-TR-200.8.7,Layer 7 protocol,Baseline
Security Continuous Monitoring,CM,CM-TR-200,22,2,CM-TR-200.8.8,User Agent String,Baseline
Security Continuous Monitoring,CM,CM-TR-200,23,2,CM-TR-200.8.9,Session or activity duration,Baseline
Security Continuous Monitoring,CM,CM-TR-200,24,2,CM-TR-200.8.10,Bytes sent and received,Baseline
Security Continuous Monitoring,CM,CM-TR-200,25,2,CM-TR-200.8.11,Terminal address and location,Baseline
Security Continuous Monitoring,CM,CM-TR-200,26,2,CM-TR-200.8.12,"Activity type attempted (e.g., login, login help, update, delete, insert, create, file upload/download)",Baseline
Security Continuous Monitoring,CM,CM-TR-200,27,2,CM-TR-200.8.13,Activity success or failure,Baseline
Security Continuous Monitoring,CM,CM-TR-200,28,2,CM-TR-200.8.14,Before and after values,Baseline
Security Continuous Monitoring,CM,CM-TR-200,29,2,CM-TR-200.8.15,"Identity or name of affected data, system component, or resource",Baseline
Security Continuous Monitoring,CM,CM-TR-300,0,0,,"The Company defines logging requirements based on asset risk and log value to threat detection and investigation activities, in addition to compliance requirements, regulatory requirements, and risk assessments.",Baseline
Security Continuous Monitoring,CM,CM-TR-400,0,0,,Application Owners ensure compliance with logging requirements throughout the asset life cycle.,Baseline
Security Continuous Monitoring,CM,CM-TR-500,0,0,,Application Owners ensure compliance with updated or additional logging requirements within [INSERT TIME FRAME] of publication.,Baseline
Security Continuous Monitoring,CM,CM-TR-600,0,0,,System Owners ensure compliance with logging requirements throughout the asset lifecycle.,Baseline
Security Continuous Monitoring,CM,CM-TR-700,0,0,,System Owners ensure compliance with updated or additional logging requirements within [INSERT TIME FRAME] of publication.,Baseline
Security Continuous Monitoring,CM,CM-TR-710,0,0,,"Application and System owners are responsible for taking corrective actions when logging functionality anomalies or failures (e.g. failures in the log capturing mechanisms, log storage capacity being reached or exceeded) are reported.",Baseline
Security Continuous Monitoring,CM,CM-TR-800,0,0,,Systems use internal system clocks to generate timestamps for audit records.,Baseline
Security Continuous Monitoring,CM,CM-TR-900,0,0,,Systems synchronize internal system clocks with an approved authoritative time source at least  [INSERT TIME FRAME].,Baseline
Security Continuous Monitoring,CM,CM-TR-910,0,0,,"For The Company systems deployed in its FedRAMP boundaries, synchronize internal system clocks with the NIST internet time servers at least  [INSERT TIME FRAME] and when there is a material time difference as defined by The Company. A primary and secondary NIST internet time server is selected. The secondary server is selected from a different geographic region than the primary server.",FedRAMP Extended
Security Continuous Monitoring,CM,CM-TR-1000,0,0,,Systems and applications forward security-required logs to the logging service specified by Security.,Baseline
Security Continuous Monitoring,CM,CM-TR-1100,0,0,,System logging facility is configured to log user activity and system changes.,Baseline
Security Continuous Monitoring,CM,CM-TR-1200,0,0,,"Logs are retained in accordance with the specific regulatory or industry compliance requirement(s) (e.g., PCI) and in compliance with the internal Corporate Record Retention Schedule.",Baseline
Security Continuous Monitoring,CM,CM-TR-1300,0,0,,"Logs are retained on the local system for [INSERT TIME FRAME], where technically feasible.",Baseline
Security Continuous Monitoring,CM,CM-TR-1400,0,0,,Logs are not retained longer than specified by the Record Retention Schedule unless the information is on legal hold.,Baseline
Security Continuous Monitoring,CM,CM-TR-1500,0,0,,Log analysis and correlation is set up resulting in automated alerting.,Baseline
Security Continuous Monitoring,CM,CM-TR-1600,0,0,,Automated alerts are reviewed [INSERT TIME FRAME] and are classified according to severity.,Baseline
Security Continuous Monitoring,CM,CM-TR-1700,0,0,,Analysis procedures are documented and followed by the Security Monitoring Team.,Baseline
Security Continuous Monitoring,CM,CM-TR-1710,0,0,,"Upon notification of a higher risk vulnerability present on The Company systems deployed in its FedRAMP boundaries,  [INSERT TEAM] reviews historic logs to determine if such vulnerability has been previously exploited.",FedRAMP Extended
Security Continuous Monitoring,CM,CM-TR-1800,0,0,,"A centralized ticketing system is used to analyze the prioritization of alerts, as well as actions taken.",Baseline
Security Continuous Monitoring,CM,CM-TR-1900,0,0,,Access to logs and the logging facility shall be restricted to authorized individuals to prevent any possible misuse or compromise.,Baseline
Security Continuous Monitoring,CM,CM-TR-2000,0,0,,The Company has the following types of detective and preventive controls on inbound corporate email:  [INSERT SPECIFIC DETAILS]. These capabilities are centrally managed and the detection content is automatically updated where feasible. ,Baseline
Security Continuous Monitoring,CM,CM-TR-2010,0,0,,The Company uses user behavior analysis capabilities to monitor for threat activity associated with internal and third party personnel.  ,Baseline
Security Continuous Monitoring,CM,CM-TR-2100,0,0,,"The Company has endpoint agents that serve antivirus, endpoint detection and response, and data loss prevention capabilities, where technically feasible and applicable.  These capabilities are centrally managed and the detection content is automatically updated  [INSERT TIME FRAME] where feasible. ",Baseline
Security Continuous Monitoring,CM,CM-TR-2100,1,1,CM-TR-2100.1,"Antivirus scans of the system are performed  [INSERT TIME FRAME]. Where feasible, real-time scans of files, from external sources, are performed as the files are downloaded, opened, or executed.",Baseline
Security Continuous Monitoring,CM,CM-TR-2110,0,0,,"For The Company systems deployed in its FedRAMP boundaries, antivirus is configured to perform periodic scans of the information system  [INSERT TIME FRAME] and real-time scans of files from external sources as the files are downloaded, opened, or executed. ",FedRAMP Extended
Security Continuous Monitoring,CM,CM-TR-2200,0,0,,"Endpoints (i.e., servers and workstations) have security agents installed, as required by the Endpoint Security Agent Guideline.",Baseline
Security Continuous Monitoring,CM,CM-TR-2300,0,0,,Process Owners ensure that required endpoint security agents are installed upon instantiation of a system.,Baseline
Security Continuous Monitoring,CM,CM-TR-2400,0,0,,Process Owners ensure that required endpoint security agents on each newly built system are communicating with the endpoint security system prior to providing the system for use.,Baseline
Security Continuous Monitoring,CM,CM-TR-2500,0,0,,Application and System Owners ensure that endpoints have the required endpoint security agents installed and that the agents are communicating with the endpoint security system throughout the system's lifecycle.,Baseline
Security Continuous Monitoring,CM,CM-TR-2600,0,0,,"Where technically feasible, The Company subjects internet traffic leaving The Company user networks to the following security controls:",Baseline
Security Continuous Monitoring,CM,CM-TR-2600,1,1,CM-TR-2600.1,Layer 3/4/7 Logging and Analysis (Connection & Metadata),Baseline
Security Continuous Monitoring,CM,CM-TR-2600,2,1,CM-TR-2600.2,Dynamic and Static File Analysis,Baseline
Security Continuous Monitoring,CM,CM-TR-2600,3,1,CM-TR-2600.3,Malicious Traffic Blocking,Baseline
Security Continuous Monitoring,CM,CM-TR-2600,4,1,CM-TR-2600.4,Commodity Web Filtering,Baseline
Security Continuous Monitoring,CM,CM-TR-2600,5,1,CM-TR-2600.5,Network Data Loss Prevention (DLP),Baseline
Security Continuous Monitoring,CM,CM-TR-2700,0,0,,"Where technically feasible, The Company subjects internet traffic leaving The Company data center networks to the following security controls:",Baseline
Security Continuous Monitoring,CM,CM-TR-2700,1,1,CM-TR-2700.1,Layer 3/4/7 logging and analysis (connection & metadata),Baseline
Security Continuous Monitoring,CM,CM-TR-2700,2,1,CM-TR-2700.2,Network Data Loss Prevention (DLP),Baseline
Security Continuous Monitoring,CM,CM-TR-2800,0,0,,"Where technically feasible, The Company subjects internet traffic entering The Company data center networks to the following security controls.",Baseline
Security Continuous Monitoring,CM,CM-TR-2800,1,1,CM-TR-2800.1,Layer 3/4/7 logging and analysis (connection & metadata),Baseline
Security Continuous Monitoring,CM,CM-TR-2800,2,1,CM-TR-2800.2,Malicious traffic blocking,Baseline
