control_id,control_domain,Control_Description,CIS_Control_Number,CIS_Control_Title,CIS_Control_Description
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.1,Utilize an Active Discovery Tool,Utilize an active discovery tool to identify devices connected to the organization's network and update the hardware asset inventory.
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.2,Use a Passive Asset Discovery Tool,Utilize a passive discovery tool to identify devices connected to the organization's network and automatically update the organization's hardware asset inventory.
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.4,Maintain Detailed Asset Inventory,"Maintain an accurate and up-to-date inventory of all technology assets with the potential to store or process information. This inventory shall include all hardware assets, whether connected to the organization's network or not."
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.5,Maintain Asset Inventory Information,"Ensure that the hardware asset inventory records the network address, hardware address, machine name, data asset owner, and department for each asset and whether the hardware asset has been approved to connect to the network."
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.1,Maintain Inventory of Authorized Software,Maintain an up-to-date list of all authorized software that is required in the enterprise for any business purpose on any business system.
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.3,Utilize Software Inventory Tools,Utilize software inventory tools throughout the organization to automate the documentation of all software on business systems.
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.4,Track Software Inventory Information,"The software inventory system should track the name, version, publisher, and install date for all software, including operating systems authorized by the organization."
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.5,Integrate Software and Hardware Asset Inventories,The software inventory system should be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.
AM-CS-1,AM,The Company maintains an inventory of Assets.,12.1,Maintain an Inventory of Network Boundaries,Maintain an up-to-date inventory of all of the organization's network boundaries.
AM-CS-6,AM,"The Company tracks and reports on End Of Service Life (EOSL"") for hardware and software.""",2.2,Ensure Software is Supported by Vendor,Ensure that only software applications or operating systems currently supported and receiving vendor updates are added to the organization's authorized software inventory. Unsupported software should be tagged as unsupported in the inventory system.
