Domain Name ,Domain,Control_ID,Control_Desc,Control_Scope,Control_Owner,Control_Operator,Control_Type,Control_Type
Physical Security,PS,PS-CS-1,The Company maintains a physical security standard which contains requirements for physical controls. ,Baseline,,,Enterprise,Administrative
Physical Security,PS,PS-CS-2,The Company performs Physical Security Assessments for all facilities on a [INSERT TIME FRAME] basis. ,Baseline,,,Enterprise,Physical
Physical Security,PS,PS-CS-3,The Company performs Physical Penetration Tests for [INSERT TIER LEVEL] facilities on a [INSERT TIME FRAME] basis. ,Baseline,,,Enterprise,Physical
Physical Security,PS,PS-CS-4,Electronic Access Control Systems (ACS) are used to secure [INSERT TIER LEVEL] facilities. ,Baseline,,,Enterprise,Physical
Physical Security,PS,PS-CS-5,The Company supervisors approve physical access requests before physical access is granted. ,Baseline,,,Enterprise,Technical
Physical Security,PS,PS-CS-6,Physical Access reviews are performed in accordance with the Access Management Team Review Process. ,Baseline,,,Enterprise,Technical
Physical Security,PS,PS-CS-7,Physical badge access is deprovisioned within [INSERT TIME FRAME] of notification of termination of an employee or contractor. ,Baseline,,,Enterprise,Technical
Physical Security,PS,PS-CS-8,Visitors at all [INSERT TIER LEVEL] facilities are required to sign-in on an approved visitor log or register in an electronic visitor management system. ,Baseline,,,Enterprise,Physical
Physical Security,PS,PS-CS-9,The Company uses video surveillance systems at [INSERT TIER LEVEL] facilities. ,Baseline,,,Enterprise,Physical
Physical Security,PS,PS-CS-10,The Company has designed and implemented environmental controls to protect information systems at all [INSERT TIER LEVEL] facilities. ,Baseline,,,Enterprise,Physical
Continuity & Recovery Planning ,RP,RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,Baseline,,,Enterprise,Technical
Continuity & Recovery Planning ,RP,RP-CS-6,The Company completes secure backups of information systems and data.,Baseline,,,System Specific,Technical
Continuity & Recovery Planning ,RP,RP-CS-7,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Technical
Asset Management,AM,AM-CS-1,The Company maintains an inventory of Assets.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-2,Hardware Technology Assets must be requested and approved.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-3,"Assets are securely disposed of, if no longer required.  ",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-5,Scope for regulatory compliance requirements is identified and documented.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-6,"The Company tracks and reports on End Of Service Life (""EOSL"") for hardware and software.",Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",FedRAMP Extended,,,Enterprise,Technical
Asset Management,AM,AM-CS-9,Scope for The Company's authorization boundaries is identified and documented.,FedRAMP Extended,,,Enterprise,Administrative
