Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Physical Security ,PS,PS-TR-100,0,0,,The Physical Security Tier standard applies to all The Company facilities (owned and leased).,Baseline
Physical Security ,PS,PS-TR-200,0,0,,The Company facilities are defined by the following tiers:,Baseline
Physical Security ,PS,PS-TR-200,1,1,PS-TR-200.1,"Tier 1 (critical risk operations) facilities (i.e., data centers, consumer/client data storage facilities)",Baseline
Physical Security ,PS,PS-TR-200,2,1,PS-TR-200.2,"Tier 2 (high risk operations) facilities (e.g., corporate headquarters, operations command centers, client call centers)",Baseline
Physical Security ,PS,PS-TR-200,3,1,PS-TR-200.3,"Tier 3 (moderate risk operations) facilities (e.g., general business offices)",Baseline
Physical Security ,PS,PS-TR-200,4,1,PS-TR-200.4,"Tier 4 (low risk operations) facilities (e.g., remote offices with VPN only access not directly connected to The Company network)",Baseline
Physical Security ,PS,PS-TR-300,0,0,,The Company documents the effectiveness of the controls in place to mitigate risk based on the criticality of operations at that facility in Physical Security Assessments (PSAs).,Baseline
Physical Security ,PS,PS-TR-300,1,1,PS-TR-300.1,A compliance checklist is completed during the PSA which documents the effectiveness of the controls in place to mitigate risk based on the criticality of operations at that facility.,Baseline
Physical Security ,PS,PS-TR-300,2,1,PS-TR-300.2,"For identified instances of noncompliance with the [INSERT STANDARD NAME] Standard, remediation is tracked and monitored by the Physical Security team.",Baseline
Physical Security ,PS,PS-TR-300,3,1,PS-TR-300.3,Identified instances of non-compliance are sent to the relevant facilities team during the exit interview for remediation based on the risk ranking of the vulnerability.,Baseline
Physical Security ,PS,PS-TR-300,4,1,PS-TR-300.4,"Remediation of vulnerabilities is applied, tracked, and monitored based on SLAs as defined in the Standard.",Baseline
Physical Security ,PS,PS-TR-400,0,0,,PSAs are conducted for the facility adhering to the frequency requirements below:,Baseline
Physical Security ,PS,PS-TR-400,1,1,PS-TR-400.1,Tiers 1-2:  [INSERT TIME FRAME],Baseline
Physical Security ,PS,PS-TR-400,2,1,PS-TR-400.2,Tier 3:  [INSERT TIME FRAME],Baseline
Physical Security ,PS,PS-TR-400,3,1,PS-TR-400.3,Tier 4:  [INSERT TIME FRAME],Baseline
Physical Security ,PS,PS-TR-500,0,0,,Identified vulnerabilities are tracked and remediated in accordance with the assigned risk ranking and as defined by SLAs in the Standard.,Baseline
Physical Security ,PS,PS-TR-600,0,0,,"Physical penetration testing is conducted by members of the Security Team, Internal Audit, or an approved vendor/third party.",Baseline
Physical Security ,PS,PS-TR-700,0,0,,Physical penetration testing is completed for:,Baseline
Physical Security ,PS,PS-TR-700,1,1,PS-TR-700.1,[INSERT #] Tier 1 facility per  [INSERT TIME FRAME],Baseline
Physical Security ,PS,PS-TR-700,2,1,PS-TR-700.2,[INSERT #] Tier 2 facility per  [INSERT TIME FRAME],Baseline
Physical Security ,PS,PS-TR-800,0,0,,Identified vulnerabilities are tracked and remediated in accordance with the assigned risk ranking and as defined by SLAs in the Standard.,Baseline
Physical Security ,PS,PS-TR-900,0,0,,"ACS tracks and responds to physical access events by date, location and time of event.",Baseline
Physical Security ,PS,PS-TR-900,1,1,PS-TR-900.1,ACS logs are retained for  [INSERT TIME FRAME] in accordance with the Corporate Records Retention Schedule.,Baseline
Physical Security ,PS,PS-TR-1000,0,0,,A minimum of two-factor authentication is required at Tier 1 facility area entrances.,Baseline
Physical Security ,PS,PS-TR-1100,0,0,,"All physical access entitlements are requested, approved, and provisioned in accordance with the Standards.",Baseline
Physical Security ,PS,PS-TR-1100,1,1,PS-TR-1100.1,"Any ""ad hoc"" adding or removal of entitlements (clearances) within an access control personnel record not processed is documented in the ACS by updating the notes field within the record.",Baseline
Physical Security ,PS,PS-TR-1200,0,0,,The Company supervisors request physical access based on work need and location.,Baseline
Physical Security ,PS,PS-TR-1300,0,0,,All physical access badge holders are in [INSERT TOOL].,Baseline
Physical Security ,PS,PS-TR-1400,0,0,,General Area Access (GAA) reviews are performed as part of the entitlement review [INSERT TIME FRAME] by the badge holder's manager or sponsor.,Baseline
Physical Security ,PS,PS-TR-1500,0,0,,Internally Secure Area (ISA) reviews are performed [INSERT TIME FRAME] by the designated ISA area owner or sponsor.,Baseline
Physical Security ,PS,PS-TR-1600,0,0,,Physical access reviews are performed in accordance with the Access Management Team Review Process.,Baseline
Physical Security ,PS,PS-TR-1700,0,0,,All physical access entitlements are deprovisioned in accordance with the Standards.,Baseline
Physical Security ,PS,PS-TR-1800,0,0,,Visitor logs are retained per The Company Records Retention Schedule.,Baseline
Physical Security ,PS,PS-TR-1900,0,0,,"All Users who do not possess an The Company issued badge, and are seeking entrance to an The Company facility, complete the visitor registration process and obtain a visitor ID badge which is displayed prominently at all times.",Baseline
Physical Security ,PS,PS-TR-1900,1,1,PS-TR-1900.1,"Upon arrival, visitors present valid government issued photo identification that matches the pre-registered information.",Baseline
Physical Security ,PS,PS-TR-2000,0,0,,"At locations where no visitor reception area exists, a designated staff member(s) manages the visitor sign-in process.",Baseline
Physical Security ,PS,PS-TR-2100,0,0,,"Video surveillance is placed at perimeter access points, including entrances, exits, and loading docks.",Baseline
Physical Security ,PS,PS-TR-2200,0,0,,Video surveillance is placed inside or outside the facility as long as the door is in view and permits view of the access point.,Baseline
Physical Security ,PS,PS-TR-2300,0,0,,Video recordings are stored on-site in a secure location.,Baseline
Physical Security ,PS,PS-TR-2400,0,0,,Video recordings will be retained for a minimum of  [INSERT TIME FRAME] for Tier 2-4 facilities and  [INSERT TIME FRAME] for Tier 1 facilities.,Baseline
Physical Security ,PS,PS-TR-2500,0,0,,Environmental controls are in place in accordance with ASHRAE data center standards.,Baseline
Physical Security ,PS,PS-TR-2600,0,0,,"Heating, ventilation, air conditioning (HVAC) units, fire detection systems, uninterruptible power supplies (UPS), generators, and other critical environmental systems are monitored, logged, and serviced for normal operations by facilities management.",Baseline
Physical Security ,PS,PS-TR-2700,0,0,,"Utilities, environmental systems, generators, and external fuel sources are fenced or otherwise protected so as to prohibit unauthorized access.",Baseline
Continuity and Recovery Planning,RP,RP-TR-100,0,0,,"The Company maintains a comprehensive business continuity and disaster recovery framework that is updated annually and includes requirements for essential company missions and business functions, associated contingency requirements, recovery objectives, restoration priorities, contingency roles and responsibilities, and system restoration.",Baseline
Continuity and Recovery Planning,RP,RP-TR-100,1,1,RP-TR-100.1,Updates to the framework are communicated to employees through optional Learning Management System (LMS) training,Baseline
Continuity and Recovery Planning,RP,RP-TR-100,2,1,RP-TR-100.2,"Business Impact Analysis include critical application dependencies that detail component IDs, application names, hosting type, recovery time objective (RTO), recovery point objective (RPO), and dependent business processes. RTO and RPO are based on three factors: a) revenue loss over time, b) regulation requirements, and c) reputational risk. Recovery Tiers are defined in the Business Continuity Management Policy",Baseline
Continuity and Recovery Planning,RP,RP-TR-110,0,0,,"Contingency training for information system users working within the FedRAMP boundary is conducted within [INSERT TIME FRAME] of assuming a contingency role, when required by system changes, and annually thereafter. ",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-120,,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company provides for the recovery and reconstitution to a known state after a failure in which DR plans are activated.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-200,0,0,,The Company activates business continuity or disaster recovery contingency plans during or after an event as deemed necessary for plan activation.,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,1,1,RP-TR-200.1,"For disaster recovery, technology teams evaluate each incident to determine whether to declare a disaster and activate the appropriate disaster recovery plan",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,2,1,RP-TR-200.2,"For business continuity, local management is empowered to activate plans",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,3,1,RP-TR-200.3,Resilience requirements to support delivery of critical services are used during plan activation in accordance with the business continuity and disaster recovery framework,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,4,1,RP-TR-200.4,"Upon plan activation, business continuity and disaster recovery documentation is prepared and then stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,5,1,RP-TR-200.5,"Post-incident analysis is performed, documented, and stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-300,0,0,,Contingency plans are updated and approved [INSERT TIME FRAME]. Changes to plans are communicated with the appropriate stakeholders.,Baseline
Continuity and Recovery Planning,RP,RP-TR-300,1,1,RP-TR-300.1,Disaster Recovery Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,2,1,RP-TR-300.2,Business Continuity Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,3,1,RP-TR-300.3,Approvals are maintained within the System of Record,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,0,0,,Contingency plans are tested [INSERT TIME FRAME]. Testing is coordinated with stakeholders responsible for related plans.,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,1,1,RP-TR-400.1,Disaster recovery plan tests are documented in the System of Record with appropriate post-exercise approvals,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,2,1,RP-TR-400.2,Datacenter disaster recovery tests are performed based on a schedule published in Q1 of each year,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,3,1,RP-TR-400.3,Issues encountered during exercises are documented. Any issues not rectified during the exercise will have a service ticket documented for resolution tracking,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,4,1,RP-TR-400.4,RTOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,5,1,RP-TR-400.5,RPOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,6,1,RP-TR-400.6,The Company contingency plans are coordinated and tested with external service providers to ensure that The Company contingency requirements can be satisfied,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,7,1,RP-TR-400.7,Backups designated for disaster recovery are tested [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-500,0,0,,The Company maintains a list of facilities owned or leased by The Company. ,Baseline
Continuity and Recovery Planning,RP,RP-TR-510,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains a list of facilities owned or leased by The Company which includes alternate storage and processing sites separate from primary sites.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-520,0,0,,"For The Company systems deployed in its FedRAMP boundaries,  The Company identifies an alternate storage and processing site that is separated from the primary storage site to reduce susceptibility to the same threats.",FedRAMP Extended
