Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Continuity and Recovery Planning,RP,RP-TR-100,0,0,,"The Company maintains a comprehensive business continuity and disaster recovery framework that is updated annually and includes requirements for essential company missions and business functions, associated contingency requirements, recovery objectives, restoration priorities, contingency roles and responsibilities, and system restoration.",Baseline
Continuity and Recovery Planning,RP,RP-TR-100,1,1,RP-TR-100.1,Updates to the framework are communicated to employees through optional Learning Management System (LMS) training,Baseline
Continuity and Recovery Planning,RP,RP-TR-100,2,1,RP-TR-100.2,"Business Impact Analysis include critical application dependencies that detail component IDs, application names, hosting type, recovery time objective (RTO), recovery point objective (RPO), and dependent business processes. RTO and RPO are based on three factors: a) revenue loss over time, b) regulation requirements, and c) reputational risk. Recovery Tiers are defined in the Business Continuity Management Policy",Baseline
Continuity and Recovery Planning,RP,RP-TR-110,0,0,,"Contingency training for information system users working within the FedRAMP boundary is conducted within [INSERT TIME FRAME] of assuming a contingency role, when required by system changes, and annually thereafter. ",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-120,,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company provides for the recovery and reconstitution to a known state after a failure in which DR plans are activated.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-200,0,0,,The Company activates business continuity or disaster recovery contingency plans during or after an event as deemed necessary for plan activation.,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,1,1,RP-TR-200.1,"For disaster recovery, technology teams evaluate each incident to determine whether to declare a disaster and activate the appropriate disaster recovery plan",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,2,1,RP-TR-200.2,"For business continuity, local management is empowered to activate plans",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,3,1,RP-TR-200.3,Resilience requirements to support delivery of critical services are used during plan activation in accordance with the business continuity and disaster recovery framework,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,4,1,RP-TR-200.4,"Upon plan activation, business continuity and disaster recovery documentation is prepared and then stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,5,1,RP-TR-200.5,"Post-incident analysis is performed, documented, and stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-300,0,0,,Contingency plans are updated and approved [INSERT TIME FRAME]. Changes to plans are communicated with the appropriate stakeholders.,Baseline
Continuity and Recovery Planning,RP,RP-TR-300,1,1,RP-TR-300.1,Disaster Recovery Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,2,1,RP-TR-300.2,Business Continuity Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,3,1,RP-TR-300.3,Approvals are maintained within the System of Record,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,0,0,,Contingency plans are tested [INSERT TIME FRAME]. Testing is coordinated with stakeholders responsible for related plans.,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,1,1,RP-TR-400.1,Disaster recovery plan tests are documented in the System of Record with appropriate post-exercise approvals,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,2,1,RP-TR-400.2,Datacenter disaster recovery tests are performed based on a schedule published in Q1 of each year,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,3,1,RP-TR-400.3,Issues encountered during exercises are documented. Any issues not rectified during the exercise will have a service ticket documented for resolution tracking,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,4,1,RP-TR-400.4,RTOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,5,1,RP-TR-400.5,RPOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,6,1,RP-TR-400.6,The Company contingency plans are coordinated and tested with external service providers to ensure that The Company contingency requirements can be satisfied,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,7,1,RP-TR-400.7,Backups designated for disaster recovery are tested [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-500,0,0,,The Company maintains a list of facilities owned or leased by The Company. ,Baseline
Continuity and Recovery Planning,RP,RP-TR-510,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains a list of facilities owned or leased by The Company which includes alternate storage and processing sites separate from primary sites.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-520,0,0,,"For The Company systems deployed in its FedRAMP boundaries,  The Company identifies an alternate storage and processing site that is separated from the primary storage site to reduce susceptibility to the same threats.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-530,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company identifies potential accessibility problems to the alternate storage and processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-540,0,0,,The Company establishes an alternate processing site including necessary agreements to permit the transfer and resumption of FedRAMP boundary operations for essential missions/business functions within recovery time objectives (RTO) and recovery point objectives (RPO) assigned in plans when the primary processing capabilities are unavailable.  ,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-550,0,0,,The Company ensures that equipment and supplies required to transfer and resume operations associated with the FedRAMP boundary are available at the alternate processing site or contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-560,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company ensures that the alternate processing site provides information security safeguards equivalent to that of the primary site.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-570,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company develops alternate processing site agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives)",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-580,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company: (a) Develops primary and alternate telecommunications service agreements that contain priority- of-service provisions in accordance with organizational availability requirements (including recovery time objectives); and (b) Requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-590,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-595,0,0,,"For The Company systems deployed in its FedRAMP boundaries, the information system implements transaction recovery for systems that are transaction-based.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-600,0,0,,The Company maintains secure backups of information systems and data.,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,1,1,RP-TR-600.1,The Company encrypts backups at rest per Data Classification & Handling and Cryptographic Protections Technical Requirement,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,2,1,RP-TR-600.2,Physical backup media is protected in transit,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,3,1,RP-TR-600.3,Data backups transmitted over the network are protected per Data Classification & Handling and Cryptographic Protections Technical Requirement,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,4,1,RP-TR-600.4,Backups are not kept for archival purposes unless specified by legal requirements,Baseline
Continuity and Recovery Planning,RP,RP-TR-610,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains secure backups of information systems and data, including user-level, system-level, and audit records where applicable per Cloud Reference Guideline.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-620,0,0,,"For The Company systems deployed in its FedRAMP boundaries, backups are completed based on contractual obligations for FedRAMP or at the following frequency if not otherwise stated:  [INSERT TIME FRAME].",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-630,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company conducts backups of information system documentation including security-related documentation. ",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-640,0,0,,Backups for The Company systems deployed in its FedRAMP boundaries are stored in separate facilities per business continuity requirements. ,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-650,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains at least one data backup and two data copies/replicas of user-level information, system-level information, and information system documentation including security information. Each copy/replica is stored in a different/separate availability zone. The data backup is stored offline. See below as a reference: Production Data (Availability Zone 1). Copy/Replica 1 (Availability Zone 2). Copy/Replica 2 (Availability Zone 3). Data Backup (Offline)",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-700,0,0,,Data backups are completed to ensure they meet the stated recovery objectives as defined in the Disaster Recovery Standard and contingency plans.,Baseline
Continuity and Recovery Planning,RP,RP-TR-800,0,0,,The Company tests the integrity of backups for select applications on [INSERT TIME FRAME].,Baseline
Asset Management,AM,AM-TR-100,0,0,,The Company maintains an inventory of assets and configuration items.,Baseline
Asset Management,AM,AM-TR-200,0,0,,"The Company uses manual processes and, where practicable, automated tool(s) to regularly inventory and classify, manage inventory disposition and maintain reports on assets.",Baseline
Asset Management,AM,AM-TR-300,0,0,,"The Company validates the completeness and accuracy of the hardware and software assets maintained within the asset inventory, including corresponding configuration items and asset attributes. The inventory is updated as necessary following execution of internal processes.",Baseline
Asset Management,AM,AM-TR-310,0,0,,"The inventory of The Company systems deployed in its FedRAMP boundaries is updated at least [INSERT TIME FRAME], following the execution of internal processes including but not limited to component or system installation, removals, and updates,  and when there is a system change.",FedRAMP Extended
Asset Management,AM,AM-TR-400,0,0,,"The Company maintains an asset inventory, which includes both software and hardware assets.",Baseline
