Domain Name ,Domain,Control_ID,Control_Desc,Control_Scope,Control_Owner,Control_Operator,Control_Type,Control_Type
Patch Management,PM,PM-CS-1,The Company has a Patch Supervisor and Patch Management Group (PMG) responsible for supervising and reporting on patching.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-2,The Company provides training on patch management policies and procedures on a [INSERT TIME FRAME] basis.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-3,The Company performs a biannual assessment of its management and implementation of security updates and patches.,Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-4,"Patches are identified, assessed, and documented as they are made available by vendors.",Baseline,,,System Specific,Administrative
Patch Management,PM,PM-CS-5,"Patch deployment is prioritized, initiated, completed, and documented per timeline requirements.",Baseline,,,System Specific,Technical
Patch Management,PM,PM-CS-6,"The Company documents, reports, and escalates patch status, progress, risks, and issues.",Baseline,,,Enterprise,Administrative
Patch Management,PM,PM-CS-7,System images and baseline build configurations are updated to include the latest available patches.,Baseline,,,Enterprise,Technical
Patch Management,PM,PM-CS-8,The Company maintains a patch management solution to manage software patches.,Baseline,,,System Specific,Administrative
Patch Management,PM,PM-CS-9,Application or System Owners verify that patches are successfully deployed.,Baseline,,,System Specific,Technical
Asset Management,AM,AM-CS-1,The Company maintains an inventory of Assets.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-2,Hardware Technology Assets must be requested and approved.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-3,"Assets are securely disposed of, if no longer required.  ",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-5,Scope for regulatory compliance requirements is identified and documented.,Baseline,,,Enterprise,Administrative
Asset Management,AM,AM-CS-6,"The Company tracks and reports on End Of Service Life (""EOSL"") for hardware and software.",Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,Baseline,,,System Specific,Administrative
Asset Management,AM,AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",FedRAMP Extended,,,Enterprise,Technical
Asset Management,AM,AM-CS-9,Scope for The Company's authorization boundaries is identified and documented.,FedRAMP Extended,,,Enterprise,Administrative
Configuration Controls,CC,CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,Baseline,,,System Specific,Technical
Configuration Controls,CC,CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-4,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis. ,Baseline,,,Enterprise,Technical
Configuration Controls,CC,CC-CS-5,The Company restricts program execution for systems deployed in its FedRAMP boundaries.  ,FedRAMP Extended,,,Enterprise,Technical
