Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Security Compliance ,SC,SC-TR-100,0,0,,"The Company subscribes to relevant services to track proposed legislative, statutory, and regulatory changes directly impacting The Company business units.",Baseline
Security Compliance ,SC,SC-TR-200,0,0,,"The Company maintains an inventory of passed/effective international, federal, state, and industry specific legislative, statutory, and regulatory changes directly impacting The Company business units.",Baseline
Security Compliance ,SC,SC-TR-300,0,0,,"The Compliance Team, in coordination with any impacted business unit and Legal, performs impact assessments on passed/effective relevant legislation, statutes, and regulations to assess the overall impact to business units and to understand any necessary changes to related policies, practices, technologies, and procedures.",Baseline
Security Compliance ,SC,SC-TR-400,0,0,,"The Compliance Team develops and tracks legislative, statutory, and regulatory requirements against a response plan developed as part of the results of an impact assessment.",Baseline
Security Compliance ,SC,SC-TR-400,1,1,SC-TR-400.1,Impact assessments that require Technology or Security-related changes are developed into response plans with Security or Technology teams.,Baseline
Security Compliance ,SC,SC-TR-400,2,1,SC-TR-400.2,"Once response plans are developed, the Technology or Security teams implement, track, and report the changes back to the Compliance Team.",Baseline
Security Compliance ,SC,SC-TR-500,0,0,,"The Compliance Team performs risk assessments to determine company compliance with legislative, statutory, and regulatory obligations regarding cybersecurity in accordance with the criteria established in The Company Standards.",Baseline
Governance,GV,GV-TR-100,0,0,,"The Company establishes, documents, implements, and maintains an organization-wide Information Security Management Program, in accordance with The Company's risk objectives and applicable legal and regulatory requirements, to maintain visibility into cybersecurity and privacy-related risks and controls needed to address statutory, regulatory and contractual obligations, as well as to address possible threats to data and or assets:",Baseline
Governance,GV,GV-TR-100,1,1,GV-TR-100.1,"The Company formally defines, documents, and communicates an organization-wide Information Security Policy (Policy), as well as supporting policies, control statements, technical requirements, standards, and procedures, as applicable, to employees and relevant external parties to support the implementation of The Company Information Security Management Program and to ensure all The Company personnel understand their applicable requirements",Baseline
Governance,GV,GV-TR-100,1,2,GV-TR-100.1.1,Control statements are assigned to a senior executive (Control Owner).,Baseline
Governance,GV,GV-TR-100,2,2,GV-TR-100.1.2,Control Owners are responsible for the governance and oversight of their control(s).,Baseline
Governance,GV,GV-TR-100,3,2,GV-TR-100.1.3,Control Owners are accountable for ensuring that their control(s) operates effectively to achieve the control objective(s).,Baseline
Governance,GV,GV-TR-100,4,2,GV-TR-100.1.4,"Control Owners are responsible for establishing and enforcing governance processes that are designed to identify gaps in the implementation of the technical requirements for their control(s) and proactively remediate those gaps. Governance processes must also be designed to ensure that evidence demonstrating the effective operation of the control is retained and available to support control testing, regulator requests, or other inquiries (e.g., customer questionnaires). Where a control is not operating effectively, Control Owners are responsible for documenting compensating controls, risk mitigation, and accepting residual risk through the Exception Memorandum process.",Baseline
Governance,GV,GV-TR-100,5,2,GV-TR-100.1.5,Control Owners are responsible for appointing a Control Operator for their control(s). Control Operators manage the day-to-day operations of the governance process established for their control(s).,Baseline
Governance,GV,GV-TR-100,2,1,GV-TR-100.2,"The Company reviews and updates, as necessary, the organization-wide The Company Information Security Policy and supporting policies, control statements, technical requirements, standards, and procedures on at least an  [INSERT TIME FRAME] basis, or as required based on changes to the internal and external environment",Baseline
Governance,GV,GV-TR-100,3,1,GV-TR-100.3,"The Company obtains approval from the following roles during the Policy creation and review process: * Security Executives (i.e. SVP or delegate) * Chief Information Security Officer * Technology Committee of the Board of Directors",Baseline
Governance,GV,GV-TR-100,4,1,GV-TR-100.4,"The Company publishes updated policies to The Company intranet and communicates to employees, updated information security policies",Baseline
Governance,GV,GV-TR-100,5,1,GV-TR-100.5,"The Company defines, documents, and implements a risk-based approach to test and monitor the effectiveness of the information security management program on  [INSERT TIME FRAME]",Baseline
Governance,GV,GV-TR-200,0,0,,"The Company establishes, implements, and maintains an organization-wide Information Security Management Program document that will define and establish the resources and objectives necessary to develop, coordinate, implement and maintain The Company Information Security Management Program. The document is reviewed on at least a [INSERT TIME FRAME] basis.",Baseline
Governance,GV,GV-TR-200,1,1,GV-TR-200.1,The Company defines and documents within the Information Security Management Program roles and responsibilities for the Information Security Management Program overview and management,Baseline
Governance,GV,GV-TR-200,2,1,GV-TR-200.2,The Company defines and documents within the Information Security Management Program organizational security capabilities in place to ensure security objectives are achieved,Baseline
Governance,GV,GV-TR-200,3,1,GV-TR-200.3,The Company defines and documents within the Information Security Management Program organizational structure in place to ensure security objectives are achieved,Baseline
Governance,GV,GV-TR-200,4,1,GV-TR-200.4,The Company establishes metrics to measure and evaluate operational information security capabilities. The Company uses these metrics as an input to drive continuous improvement and maturation of the Information Security Management Program,Baseline
Governance,GV,GV-TR-300,0,0,,"The Company employs a Chief Information Security Officer (CISO) who is responsible and accountable for implementing, maintaining, and monitoring The Company Information Security Management Program.",Baseline
Governance,GV,GV-TR-300,1,1,GV-TR-300.1,"The Company CISO reports annually to The Company Board of Directors on: * the adequacy of The Company Information Security Management Program * Any material evaluations of The Company's Information Security Management Program",Baseline
Governance,GV,GV-TR-300,2,1,GV-TR-300.2,"The Company CISO reports [INSERT TIME FRAME] to the Technology Committee of the Board regarding The Company's security posture and security risks faced by The Company * Reporting includes: - The Company's security posture and the risks faced by The Company - Improvements in protection processes - The effectiveness of current protection technologies",Baseline
Governance,GV,GV-TR-300,3,1,GV-TR-300.3,"The Company CISO reports to The Company CEO any unauthorized intrusion into The Company network, that results in a defined Security Event, within  [INSERT TIME FRAME] of discovery and within  [INSERT TIME FRAME] of being notified of a defined third party reported event affecting The Company controlled personal information",Baseline
Governance,GV,GV-TR-300,4,1,GV-TR-300.4,"The Company employs for each of its Business Units a Business Information Security Officer (BISO) or equivalent who is ultimately responsible for implementing, maintaining, and monitoring The Company Information Security Management Program for their respective Business Unit",Baseline
Governance,GV,GV-TR-300,5,2,GV-TR-300.4.1,"The Company BISOs or equivalent regularly inform, advise and update The Company CISO or delegate regarding the security posture for the business unit for which the BISO or equivalent is responsible. At a minimum, reporting includes: - the security posture of the business unit for which he/she is responsible, - the security risks faced by the relevant business units, and - the implications of decisions the BISO or equivalent makes that may materially impact the security posture of the business unit",Baseline
Governance,GV,GV-TR-400,0,0,,"Variances in the implementation of a policy statement, standard, control or technical requirement result in an The Company defined Issue.",Baseline
Governance,GV,GV-TR-400,1,1,GV-TR-400.1,"The Company defines, documents, implements, and maintains an Issue process to identify, document, assess, risk rate, track, monitor, report on, escalate and close Issues",Baseline
Governance,GV,GV-TR-400,2,2,GV-TR-400.1.1,Roles and responsibilities for Issue management are defined and documented,Baseline
Governance,GV,GV-TR-400,3,2,GV-TR-400.1.2,"Issue discovery sources may include but are not limited to: * Known Issues - Internal Audits - SOC Audits - Regulatory Exams/Investigations - ISO Certifications - SOX Audits - PCI ROC process - The Company Security Risk & Compliance Team Reviews - Third Party Risk Assessment * Policy Issues - Self-reported * Controls Self-Assessment (CSA) Issues - Self-identified via CSA * Controls Testing Issues - Identified through controls testing",Baseline
Governance,GV,GV-TR-400,4,2,GV-TR-400.1.3,Issues are registered in an Issues Repository with key attributes documented,Baseline
Governance,GV,GV-TR-400,5,2,GV-TR-400.1.4,Issues metrics are reported to the Security Leadership Team on a  [INSERT TIME FRAME] basis,Baseline
Governance,GV,GV-TR-400,6,2,GV-TR-400.1.5,Escalation procedures have been defined and implemented for open Issues that have not been resolved by the remediation due date,Baseline
Governance,GV,GV-TR-400,7,2,GV-TR-400.1.6,Documentation evidencing closure of the Issue is required and reviewed prior to closing the Issue,Baseline
Governance,GV,GV-TR-500,0,0,,"The Company defines, documents, implements, and maintains a Deviation Process to identify, document, assess, risk rate, approve, track, monitor, and report on Issues that cannot be remediated due to a legitimate technical or business constraint.",Baseline
Governance,GV,GV-TR-500,1,1,GV-TR-500.1,Roles and responsibilities for Deviation management are defined and documented,Baseline
Governance,GV,GV-TR-500,2,1,GV-TR-500.2,"Deviation submission includes, at a minimum, the following attributes:",Baseline
Governance,GV,GV-TR-500,3,2,GV-TR-500.2.1,Residual Risk,Baseline
Governance,GV,GV-TR-500,4,2,GV-TR-500.2.2,Compensating Controls in Place,Baseline
Governance,GV,GV-TR-500,5,2,GV-TR-500.2.3,Deviation Management Team Reviewer Name,Baseline
Governance,GV,GV-TR-500,6,2,GV-TR-500.2.4,Due Date for Renewal,Baseline
Governance,GV,GV-TR-500,7,2,GV-TR-500.2.5,Security Acknowledgement,Baseline
Governance,GV,GV-TR-500,8,2,GV-TR-500.2.6,Security Acknowledgement Date,Baseline
Governance,GV,GV-TR-500,9,2,GV-TR-500.2.7,Business Acceptance,Baseline
Governance,GV,GV-TR-500,10,2,GV-TR-500.2.8,Business Acceptance Date,Baseline
Governance,GV,GV-TR-500,11,1,GV-TR-500.3,Approved Deviations extend the remediation due date for associated Issues through the Deviation Due Date.,Baseline
Governance,GV,GV-TR-500,12,1,GV-TR-500.4,Deviation metrics are reported to the Security Leadership Team on a  [INSERT TIME FRAME] basis,Baseline
Governance,GV,GV-TR-500,13,1,GV-TR-500.5,Documentation evidencing closure of Issues associated with a Deviation is required and reviewed prior to closing the Deviation,Baseline
Governance,GV,GV-TR-500,14,1,GV-TR-500.6,"Deviations may also be closed if they are not Renewed prior to their Due Date for Renewal (i.e., if they expire).",Baseline
Governance,GV,GV-TR-500,15,1,GV-TR-500.7,Renewal of Deviations requires acknowledgement from both security and the business.  Renewing a Deviation results in a new Due Date for Renewal.,Baseline
Governance,GV,GV-TR-600,0,0,,"The Company defines, documents, implements, and maintains a process to document, assess, risk rate, and approve Exception Memorandums related to its operating environments. The Exception Memorandums include an aggregation of Issues and Deviations by control domain.  ",Baseline
Governance,GV,GV-TR-600,1,1,GV-TR-600.1,"Exception Memorandums include, at a minimum, the following sections:",Baseline
Governance,GV,GV-TR-600,2,2,GV-TR-600.1.1,Exception Description,Baseline
Governance,GV,GV-TR-600,3,2,GV-TR-600.1.2,Risk Description,Baseline
Governance,GV,GV-TR-600,4,2,GV-TR-600.1.3,Compensating Controls,Baseline
Governance,GV,GV-TR-600,5,2,GV-TR-600.1.4,Risk Assessment,Baseline
Governance,GV,GV-TR-600,6,2,GV-TR-600.1.5,"Approval Information (e.g. Approval Date and Technology, Security, Business/Corporate stakeholder approvals)",Baseline
Governance,GV,GV-TR-600,7,2,GV-TR-600.1.6,"Appendix (e.g. Open Issues - Current Period, Open Issues - Prior Period, Closed Issues, Risk Accepted Issues)",Baseline
Governance,GV,GV-TR-600,8,2,GV-TR-600.2,"Exception Memorandums are reviewed, at a minimum, on an annual basis.",Baseline
Governance,GV,GV-TR-700,0,0,,The Company assesses the adequacy of the Information Security Management Program and supporting safeguards on a [INSERT TIME FRAME],Baseline
Governance,GV,GV-TR-700,1,1,GV-TR-700.1,"The Company enhances the Information Security Management Program as necessary, based on the results of the assessments",Baseline
Governance,GV,GV-TR-710,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company develops a continuous monitoring strategy and implements a continuous monitoring program to assess adequacy of safeguards deployed on [INSERT TIME FRAME]. Assessments are performed by individuals with appropriate levels of independence and coordinated with other assessment and audit functions, as appropriate. ",FedRAMP Extended
