Control_ID,Control_Statement,TR_ID,Technical_Requirement
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-100,The Company maintains an inventory of assets and configuration items.
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1000,"Process Owners (i.e., the role that builds the asset) shall ensure that required discovery agents are installed upon instantiation of a system and required discovery credentials are enabled and provided to the IT Asset Management Team. Installation of the discovery agents should follow the IT Asset Management documentation."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1100,"Process Owners (e.g., Network Managers, Systems Administrators) must ensure the IT Asset Management Team is made aware of new networks or IT asset devices being installed on the network and all particulars necessary for discovering networks and assets within a reasonable period of time."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1200,"Process Owners (i.e., the role that builds the asset) shall ensure that each asset is assigned to the requesting business unit and application upon instantiation of the system."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1300,The IT Asset Management Team shall deploy an asset normalization and reconciliation system to reduce component duplication in the inventory.
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1500,"When retiring or disposing of a physical asset, IT Asset Management shall update the status of the asset within the IT Asset Management system and ensure a Certificate of Disposal is attached to the asset record."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1800,ITAM Software Analyst(s) ensure that software license entitlement information is represented in the IT Asset Management system and that the following software license entitlements attributes are tracked where applicable:
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-200,"The Company uses manual processes and, where practicable, automated tool(s) to regularly inventory and classify, manage inventory disposition and maintain reports on assets."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-400,"The Company maintains an asset inventory, which includes both software and hardware assets."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-500,"The Company maintains a configuration items (CI) inventory, which includes Application Servers, Virtual Servers, Database Servers, Storage, Business Services, and Business Applications. The following attributes are documented for each type of configuration item:"
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-700,"Hardware and software purchases shall be made available with a record of IT assets acquired, which should include necessary elements to receive items into the asset management repository."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-900,"Application Owners shall ensure that all applications, associated assets, and required attributes are mapped as a Business Application."
AM-CS-2,Hardware Technology Assets must be requested and approved.,AM-TR-600,Hardware technology asset acquisitions must be requested and approved using The Company's approved procurement process(es).
AM-CS-2,Hardware Technology Assets must be requested and approved.,AM-TR-700,"Hardware and software purchases shall be made available with a record of IT assets acquired, which should include necessary elements to receive items into the asset management repository."
AM-CS-3,"Assets are securely disposed of, if no longer required.  ",AM-TR-1310,"Prior to transporting a physical asset offsite, management authorization is obtained. Physical assets storing sensitive data shall be transported by a secured courier or other delivery method that can be tracked."
AM-CS-3,"Assets are securely disposed of, if no longer required.  ",AM-TR-1500,"When retiring or disposing of a physical asset, IT Asset Management shall update the status of the asset within the IT Asset Management system and ensure a Certificate of Disposal is attached to the asset record."
AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",AM-TR-1400,"Media must be sanitized prior to disposal, removal, or reuse. This activity is documented, tracked, and verified. Approved methods of sanitization should follow NIST 800-88 sanitization guidelines."
AM-CS-4,"Media is securely sanitized prior to disposal, release, or re-use.",AM-TR-1500,"When retiring or disposing of a physical asset, IT Asset Management shall update the status of the asset within the IT Asset Management system and ensure a Certificate of Disposal is attached to the asset record."
AM-CS-5,Scope for regulatory compliance requirements is identified and documented.,AM-TR-2100,The asset management repository sends the Inventory notification to Application Owners when an Application Service is created within the Asset Inventory. Inventory certifications are tracked to completion with a target to complete promptly. 
AM-CS-6,"The Company tracks and reports on End Of Service Life ("EOSL") for hardware and software.",AM-TR-1900,"The IT Asset Management Team shall identify, verify, and report end of service life dates for installed hardware and software to Application Owners."
AM-CS-6,"The Company tracks and reports on End Of Service Life ("EOSL") for hardware and software.",AM-TR-2000,"Application Owners shall begin evaluating and planning to replace the software or to maintain the software with appropriate compensating controls at least two (2) years prior to the date on which the manufacturer's or third party's support will cease, or from the date the manufacturer or third party announces that it is no longer supporting the software if such period is less than two (2) years."
AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,AM-TR-200,"The Company uses manual processes and, where practicable, automated tool(s) to regularly inventory and classify, manage inventory disposition and maintain reports on assets."
AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,AM-TR-300,"The Company validates the completeness and accuracy of the hardware and software assets maintained within the asset inventory, including corresponding configuration items and asset attributes. The inventory is updated as necessary following execution of internal processes."
AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,AM-TR-500,"The Company maintains a configuration items (CI) inventory, which includes Application Servers, Virtual Servers, Database Servers, Storage, Business Services, and Business Applications. The following attributes are documented for each type of configuration item:"
AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,AM-TR-900,"Application Owners shall ensure that all applications, associated assets, and required attributes are mapped as a Business Application."
AM-CS-7,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis. ,AM-TR-310,"The inventory of The Company systems deployed in its FedRAMP boundaries is updated at least [INSERT TIME FRAME], following the execution of internal processes including but not limited to component or system installation, removals, and updates,  and when there is a system change."
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1600,System Owners ensure that the software contained in standard images complies with licensed use rights and meets software currency requirements.
AM-CS-6,"The Company tracks and reports on End Of Service Life ("EOSL") for hardware and software.",AM-TR-1600,System Owners ensure that the software contained in standard images complies with licensed use rights and meets software currency requirements.
AM-CS-1,The Company maintains an inventory of Assets.,AM-TR-1700,Application Owners ensure that the software used by its applications and systems complies with licensed use rights and meets software currency requirements.
AM-CS-6,"The Company tracks and reports on End Of Service Life ("EOSL") for hardware and software.",AM-TR-1700,Application Owners ensure that the software used by its applications and systems complies with licensed use rights and meets software currency requirements.
AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",AM-TR-1710,"For The Company systems deployed in its FedRAMP boundaries, use of peer-to-peer file sharing technologies are controlled and documented and are not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. "
AM-CS-8,"For The Company systems deployed in its FedRAMP boundaries, automated mechanisms to scan for, detect, and remediate the presence of unauthorized hardware, software, and firmware components are implemented.",AM-TR-1720,"For The Company systems deployed in its FedRAMP boundaries, The Company employs automated mechanisms to continuously scan for and detect, with a maximum of five minute delay in detection, the presence of The Company defined unauthorized hardware, software, and firmware components. Upon detection of an unauthorized component, appropriate personnel are notified and remediation occurs timely. "
AM-CS-9,Scope for The Company's authorization boundaries is identified and documented.,AM-TR-2110,Scope for The Company's FedRAMP authorization boundaries is identified and documented. Scope is defined using the Asset Inventory and includes the hardware and software assets and supporting configuration items in-scope for The Company's FedRAMP authorization boundaries.  
RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,RP-TR-100,"The Company maintains a comprehensive business continuity and disaster recovery framework that is updated annually and includes requirements for essential company missions and business functions, associated contingency requirements, recovery objectives, restoration priorities, contingency roles and responsibilities, and system restoration."
RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,RP-TR-110,"Contingency training for information system users working within the FedRAMP boundary is conducted within [INSERT TIME FRAME] of assuming a contingency role, when required by system changes, and annually thereafter. "
RP-CS-1,The Company maintains a comprehensive business continuity and disaster recovery framework that is reviewed and approved by relevant company management on a [INSERT TIME FRAME] basis.,RP-TR-120,"For The Company systems deployed in its FedRAMP boundaries, The Company provides for the recovery and reconstitution to a known state after a failure in which DR plans are activated."
RP-CS-2,"The Company executes contingency plans, including business continuity and disaster recovery, during or after an event as deemed necessary for plan activation. ",RP-TR-200,The Company activates business continuity or disaster recovery contingency plans during or after an event as deemed necessary for plan activation.
RP-CS-3,"The Company updates contingency plans on a [INSERT TIME FRAME] basis, as a result of an incident/event, or based on the results of a contingency plan test. The Company incorporates lessons learned and updates strategies, as necessary.",RP-TR-300,Contingency plans are updated and approved [INSERT TIME FRAME]. Changes to plans are communicated with the appropriate stakeholders.
RP-CS-4,The Company tests contingency plans on a [INSERT TIME FRAME] basis.,RP-TR-400,Contingency plans are tested [INSERT TIME FRAME]. Testing is coordinated with stakeholders responsible for related plans.
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-500,The Company maintains a list of facilities owned or leased by The Company. 
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-510,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains a list of facilities owned or leased by The Company which includes alternate storage and processing sites separate from primary sites."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-520,"For The Company systems deployed in its FedRAMP boundaries,  The Company identifies an alternate storage and processing site that is separated from the primary storage site to reduce susceptibility to the same threats."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-530,"For The Company systems deployed in its FedRAMP boundaries, The Company identifies potential accessibility problems to the alternate storage and processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-540,The Company establishes an alternate processing site including necessary agreements to permit the transfer and resumption of FedRAMP boundary operations for essential missions/business functions within recovery time objectives (RTO) and recovery point objectives (RPO) assigned in plans when the primary processing capabilities are unavailable.  
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-550,The Company ensures that equipment and supplies required to transfer and resume operations associated with the FedRAMP boundary are available at the alternate processing site or contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-560,"For The Company systems deployed in its FedRAMP boundaries, The Company ensures that the alternate processing site provides information security safeguards equivalent to that of the primary site."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-570,"For The Company systems deployed in its FedRAMP boundaries, The Company develops alternate processing site agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives)"
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-580,"For The Company systems deployed in its FedRAMP boundaries, The Company:(a) Develops primary and alternate telecommunications service agreements that contain priority- of-service provisions in accordance with organizational availability requirements (including recovery time objectives); and (b) Requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-590,"For The Company systems deployed in its FedRAMP boundaries, The Company obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services."
RP-CS-5,The Company uses alternate sites to permit the transfer and resumption of critical information systems and processes when the primary site capabilities are unavailable.,RP-TR-595,"For The Company systems deployed in its FedRAMP boundaries, the information system implements transaction recovery for systems that are transaction-based."
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-600,The Company maintains secure backups of information systems and data.
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-610,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains secure backups of information systems and data, including user-level, system-level, and audit records where applicable per Cloud Reference Guideline."
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-620,"For The Company systems deployed in its FedRAMP boundaries, backups are completed based on contractual obligations for FedRAMP or at the following frequency if not otherwise stated:  [INSERT TIME FRAME]."
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-630,"For The Company systems deployed in its FedRAMP boundaries, The Company conducts backups of information system documentation including security-related documentation. "
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-640,Backups for The Company systems deployed in its FedRAMP boundaries are stored in separate facilities per business continuity requirements. 
RP-CS-6,The Company completes secure backups of information systems and data.,RP-TR-700,Data backups are completed to ensure they meet the stated recovery objectives as defined in the Disaster Recovery Standard and contingency plans.
RP-CS-7,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis. ,RP-TR-800,The Company tests the integrity of backups for select applications on [INSERT TIME FRAME].
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-100,"Prior to being made available to application teams, [INSERT TYPE] systems are configured by a documented process:"
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1000,The Company documents the latest approved software versions in the standards documents or service catalogs.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1100,The Company uses standardized software images:
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-610,"For The Company systems deployed in its FedRAMP boundaries, perimeter network devices are configured to fail securely in the event of an operational failure."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-620,"For The Company systems deployed in its FedRAMP boundaries, The Company configures network devices to terminate the network connection associated with a communications session at the end of the session or after 30 minutes of inactivity."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-810,"The baseline procedures document contains procedures to identify items that need to be configured in non-production and production environments, processes for implementation of configuration baselines, as well as documenting roles and responsibilities."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1010,"The Company employs a deny-all, permit by exception policy to ensure authorized software is permitted to execute in its FedRAMP boundaries. "
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1110,The Company maintains at least a previous baseline configuration to support rollback
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-2010,"The Company configures its systems and applications to provide only essential capabilities and prohibits or restricts the use of the functions, ports, protocols, and/or services as defined in baselines and service catalogs."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-2020,The Company maintains separate execution domain for each executing process and implements memory safeguards to protect memory from unauthorized code execution
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-2030,The Company systems are configured to display an interactive system banner during login.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-2040,The Company devices are uniquely identified and tagged according to Technical Requirements before being deployed into the environment.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1200,The Company restricts access to configuration management tools and software packages to those required to operate the tools.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1300,"The Company requires that all new images and updates to images are tested, reviewed, and approved prior to deployment."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1400,"Passwords, tokens, and SSH keys are stored in authorized secrets management systems and not in baseline configurations."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-1600,"Default passwords are changed, disabled, or removed in configuration baselines."
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-200,"Prior to being made available to application teams, servers are configured as follows:"
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-2000,The Company application teams build and deploy applications and systems only to environments running The Company established configuration baselines.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-300,[INSERT TYPE] systems are created using deployment templates stored in a secured repository.
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-400,"Prior to being made available to end users, [INSERT TYPE] endpoint systems are configured by a documented process:"
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-500,"Prior to being made available to end users, [INSERT TYPE] endpoint systems are configured by a documented process:"
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-600,Before deployment into the environment network devices are configured following a documented process:
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-700,"Prior to being made available to end users, mobile devices are configured by a documented process:"
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-800,The Company configuration baselines are created using well known sources. Baselines are created by technology owners and approved by Information Security. 
CC-CS-1,The Company deploys systems in to its environment in accordance with established baseline configurations. ,CC-TR-900,The Company reviews baseline configurations [INSERT TIME FRAME] and updates them upon significant changes as appropriate. Updates include:
CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,CC-TR-1700,The Company operates and maintains File Integrity Monitoring (FIM) tools
CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,CC-TR-1510,"The Company uses automated mechanisms to centrally manage, apply, and verify baseline configuration settings for systems under configuration management, where feasible."
CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,CC-TR-1500,Security scans for deviations to baseline configurations and reports issues through the vulnerability management process
CC-CS-2,The Company monitors for changes to configuration settings and critical files within The Company systems. ,CC-TR-1800,The Company operates and maintains compliance scanning tools to:
CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,CC-TR-1400,"Passwords, tokens, and SSH keys are stored in authorized secrets management systems and not in baseline configurations."
CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,CC-TR-1200,The Company restricts access to configuration management tools and software packages to those required to operate the tools.
CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,CC-TR-1600,"Default passwords are changed, disabled, or removed in configuration baselines."
CC-CS-3,The Company restricts access and/or permissions to install software to authorized individuals.,CC-TR-1900,"The Company systems adhere to the principle of least privilege for granting elevated privilege accounts to users of workstations, servers, and network devices. "
CC-CS-4,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis. ,CC-TR-800,The Company configuration baselines are created using well known sources. Baselines are created by technology owners and approved by Information Security. 
CC-CS-5,The Company restricts program execution for systems deployed in its FedRAMP boundaries. ,CC-TR-1010,"The Company employs a deny-all, permit by exception policy to ensure authorized software is permitted to execute in its FedRAMP boundaries. "
TC-CS-1,"The Company maintains a Change Management Policy that identifies requirements for changes, roles, responsibilities, and management commitment. ",TC-TR-100,The Change Management Policy applies to changes made to production and user acceptance testing (UAT) environments.
TC-CS-1,"The Company maintains a Change Management Policy that identifies requirements for changes, roles, responsibilities, and management commitment. ",TC-TR-1000,The Company Change Control Policy is reviewed [INSERT TIME FRAME].
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-110,The Company categorizes changes based on the below listed risk categories. Change Risk Rating is calculated by established Risk Evaluation metrics defined in The Company Change Management Policy.
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-300,The Company Change Advisory Board: 
TC-CS-2,"The Company reviews proposed changes to systems and approves or disapproves changes after consideration for change type, business need, impact, and risk. ",TC-TR-500,The Company evaluates changes by type:
