Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Risk Management,RM,RM-TR-100,0,0,,"Organizational risk target/goals is presented to the Board of Directors on at least an annual basis, or as significant changes to the company's risk exposure occur.",Baseline
Risk Management,RM,RM-TR-300,0,0,,"The Board of Directors, or relevant committee thereof, reviews and approves the Core Security Risk Assessment on at least an  [INSERT TIME FRAME] basis.",Baseline
Risk Management,RM,RM-TR-400,0,0,,"The Board of Directors, or relevant committee thereof, reviews and approves the Organizational risk target/goals on at least an  [INSERT TIME FRAME] basis.",Baseline
Risk Management,RM,RM-TR-500,0,0,,"The Enterprise Security Risk Assessment includes an assessment of internal and external risks to the security, confidentiality, or integrity of personal information that could result in unauthorized disclosure, misuse, loss, alteration, destruction, or other compromise.",Baseline
Risk Management,RM,RM-TR-500,1,1,RM-TR-500.1,"The SVP, Security Risk reviews and approves the Enterprise Security Risk Assessment on at least an [INSERT TIME FRAME] basis, or as significant changes to the assessment are made.",Baseline
Risk Management,RM,RM-TR-600,0,0,,The Enterprise Security Risk Assessment is maintained by the Chief Information Security Officer or his or her designee.,Baseline
Risk Management,RM,RM-TR-900,0,0,,The Enterprise Threat Vector Assessment includes an analysis of enterprise threat vectors which are both internal and external to The Company.,Baseline
Risk Management,RM,RM-TR-1100,0,0,,"The SVP, Security Risk reviews and approves the Enterprise Threat Vector Assessment on at least an  [INSERT TIME FRAME] basis, or as significant changes to the assessment are made.",Baseline
Risk Management,RM,RM-TR-1200,0,0,,"Asset risk assessment lifecycle steps are risk identification, analysis, evaluation, and treatment.",Baseline
Risk Management,RM,RM-TR-1300,0,0,,"The Inherent Risk Rating (IRR), Control Assessment Rating (CAR), and Residual Risk Rating (RRR) for technology assets is defined in the Asset Criticality Risk Methodology.",Baseline
Risk Management,RM,RM-TR-1400,0,0,,"The criteria used to calculate the IRR and prioritize technology assets is based on the asset's data classification, data volume, data availability, and whether the asset is internet-facing.",Baseline
Risk Management,RM,RM-TR-1400,1,1,RM-TR-1400.1,A weighting is applied to each IRR attribute to determine the asset's IRR as defined in the Asset Security Risk Methodology.,Baseline
Risk Management,RM,RM-TR-1500,0,0,,Security Risk Assessments (SRAs) are performed for applicable applications and platforms as defined in the Asset Security Risk Methodology.,Baseline
Risk Management,RM,RM-TR-1600,0,0,,"Based on the results of the Control Self-Assessment (CSA) process and the technology asset's Inherent Risk Rating (IRR), the Residual Risk Rating (RRR) is calculated. ",Baseline
Risk Management,RM,RM-TR-1700,0,0,,The Company identifies and communicates risk(s) to the issues management team in accordance with the Issues and Deviations process.,Baseline
Risk Management,RM,RM-TR-1900,0,0,,"The Company designs, implements, maintains, and documents safeguards that mitigate the material internal and external risks The Company identifies to the security, confidentiality, or integrity of personal information.",Baseline
Risk Management,RM,RM-TR-2000,0,0,,"The Company's security controls are designed to reduce the risk to personal information based on the volume, sensitivity, and likelihood, given the existence of other safeguards, that the risk could be realized and result in the unauthorized access, collection, use, alteration, destruction, or disclosure of the personal information.",Baseline
Risk Management,RM,RM-TR-2010,0,0,,"The Company designs, implements, maintains, and documents safeguards that mitigate the material internal and external risks The Company identifies to the privacy of personal data.",Baseline
Risk Management,RM,RM-TR-2020,0,0,,"The Company categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",FedRAMP Extended
Risk Management,RM,RM-TR-2030,0,0,,The Company documents the security categorization results (including supporting rationale) in the system security plan and associated authorization to operate (ATO) documentation for the information system.,FedRAMP Extended
Risk Management,RM,RM-TR-2040,0,0,,The Company ensures that the security categorization decision is reviewed and approved by The Company authorizing official or authorizing official designated representative.,FedRAMP Extended
